Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
WR,Julio Jones (7642522),Julio Jones,7642522,9600,GB@Atl 04:25PM ET,Atl
WR,Mike Evans (7642482),Mike Evans,7642482,8100,Oak@TB 01:00PM ET,TB
WR,T.Y. Hilton (7642466),T.Y. Hilton,7642466,7900,KC@Ind 01:00PM ET,Ind
WR,Brandon Marshall (7642507),Brandon Marshall,7642507,7800,NYJ@Cle 01:00PM ET,NYJ
RB,David Johnson (7642452),David Johnson,7642452,7700,Ari@Car 01:00PM ET,Ari
WR,Amari Cooper (7642484),Amari Cooper,7642484,7600,Oak@TB 01:00PM ET,Oak
QB,Tom Brady (7642355),Tom Brady,7642355,7600,NE@Buf 01:00PM ET,NE
QB,Aaron Rodgers (7642351),Aaron Rodgers,7642351,7500,GB@Atl 04:25PM ET,GB
WR,Larry Fitzgerald (7642552),Larry Fitzgerald,7642552,7500,Ari@Car 01:00PM ET,Ari
WR,DeAndre Hopkins (7642503),DeAndre Hopkins,7642503,7400,Det@Hou 01:00PM ET,Hou
QB,Cam Newton (7642369),Cam Newton,7642369,7400,Ari@Car 01:00PM ET,Car
RB,Christine Michael (7642397),Christine Michael,7642397,7300,Sea@NO 01:00PM ET,Sea
WR,Brandin Cooks (7642494),Brandin Cooks,7642494,7300,Sea@NO 01:00PM ET,NO
QB,Russell Wilson (7642337),Russell Wilson,7642337,7200,Sea@NO 01:00PM ET,Sea
WR,Jordy Nelson (7642519),Jordy Nelson,7642519,7200,GB@Atl 04:25PM ET,GB
WR,Kelvin Benjamin (7642560),Kelvin Benjamin,7642560,7200,Ari@Car 01:00PM ET,Car
RB,Ezekiel Elliott (7642464),Ezekiel Elliott,7642464,7200,Phi@Dal 08:30PM ET,Dal
RB,LeSean McCoy (7642430),LeSean McCoy,7642430,7100,NE@Buf 01:00PM ET,Buf
WR,Dez Bryant (7642563),Dez Bryant,7642563,7100,Phi@Dal 08:30PM ET,Dal
QB,Matt Ryan (7642352),Matt Ryan,7642352,7000,GB@Atl 04:25PM ET,Atl
TE,Rob Gronkowski (7642619),Rob Gronkowski,7642619,7000,NE@Buf 01:00PM ET,NE
QB,Drew Brees (7642335),Drew Brees,7642335,6900,Sea@NO 01:00PM ET,NO
WR,Doug Baldwin (7642487),Doug Baldwin,7642487,6900,Sea@NO 01:00PM ET,Sea
QB,Andrew Luck (7642327),Andrew Luck,7642327,6800,KC@Ind 01:00PM ET,Ind
RB,Spencer Ware (7642380),Spencer Ware,7642380,6800,KC@Ind 01:00PM ET,KC
WR,Michael Crabtree (7642477),Michael Crabtree,7642477,6700,Oak@TB 01:00PM ET,Oak
WR,Marvin Jones Jr. (7642501),Marvin Jones Jr.,7642501,6600,Det@Hou 01:00PM ET,Det
RB,Devonta Freeman (7642423),Devonta Freeman,7642423,6500,GB@Atl 04:25PM ET,Atl
WR,Emmanuel Sanders (7642543),Emmanuel Sanders,7642543,6500,SD@Den 04:05PM ET,Den
TE,Greg Olsen (7642631),Greg Olsen,7642631,6500,Ari@Car 01:00PM ET,Car
QB,Matthew Stafford (7642340),Matthew Stafford,7642340,6400,Det@Hou 01:00PM ET,Det
RB,Matt Forte (7642413),Matt Forte,7642413,6400,NYJ@Cle 01:00PM ET,NYJ
WR,Randall Cobb (7642523),Randall Cobb,7642523,6400,GB@Atl 04:25PM ET,GB
RB,Lamar Miller (7642405),Lamar Miller,7642405,6300,Det@Hou 01:00PM ET,Hou
WR,Julian Edelman (7642535),Julian Edelman,7642535,6300,NE@Buf 01:00PM ET,NE
QB,Ryan Fitzpatrick (7642345),Ryan Fitzpatrick,7642345,6200,NYJ@Cle 01:00PM ET,NYJ
WR,Demaryius Thomas (7642544),Demaryius Thomas,7642544,6200,SD@Den 04:05PM ET,Den
RB,Doug Martin (7642384),Doug Martin,7642384,6100,Oak@TB 01:00PM ET,TB
TE,Jimmy Graham (7642590),Jimmy Graham,7642590,6100,Sea@NO 01:00PM ET,Sea
WR,Terrelle Pryor Sr. (7642509),Terrelle Pryor Sr.,7642509,6100,NYJ@Cle 01:00PM ET,Cle
QB,Philip Rivers (7642361),Philip Rivers,7642361,6100,SD@Den 04:05PM ET,SD
WR,Jeremy Maclin (7642465),Jeremy Maclin,7642465,6000,KC@Ind 01:00PM ET,KC
WR,Will Fuller (7642506),Will Fuller,7642506,6000,Det@Hou 01:00PM ET,Hou
QB,Carson Palmer (7642366),Carson Palmer,7642366,6000,Ari@Car 01:00PM ET,Ari
QB,Derek Carr (7642332),Derek Carr,7642332,5900,Oak@TB 01:00PM ET,Oak
RB,C.J. Anderson (7642442),C.J. Anderson,7642442,5900,SD@Den 04:05PM ET,Den
QB,Alex Smith (7642324),Alex Smith,7642324,5800,KC@Ind 01:00PM ET,KC
RB,Jacquizz Rodgers (7642386),Jacquizz Rodgers,7642386,5800,Oak@TB 01:00PM ET,TB
WR,Willie Snead (7642491),Willie Snead,7642491,5800,Sea@NO 01:00PM ET,NO
QB,Dak Prescott (7642373),Dak Prescott,7642373,5800,Phi@Dal 08:30PM ET,Dal
QB,Jameis Winston (7642334),Jameis Winston,7642334,5700,Oak@TB 01:00PM ET,TB
QB,Geno Smith (7642347),Geno Smith,7642347,5700,NYJ@Cle 01:00PM ET,NYJ
RB,Melvin Gordon (7642440),Melvin Gordon,7642440,5700,SD@Den 04:05PM ET,SD
WR,Jordan Matthews (7642567),Jordan Matthews,7642567,5700,Phi@Dal 08:30PM ET,Phi
QB,Tony Romo (7642370),Tony Romo,7642370,5600,Phi@Dal 08:30PM ET,Dal
RB,Jamaal Charles (7642376),Jamaal Charles,7642376,5500,KC@Ind 01:00PM ET,KC
WR,Donte Moncrief (7642471),Donte Moncrief,7642471,5400,KC@Ind 01:00PM ET,Ind
QB,Brock Osweiler (7642342),Brock Osweiler,7642342,5400,Det@Hou 01:00PM ET,Hou
QB,Kevin Hogan (7642349),Kevin Hogan,7642349,5300,NYJ@Cle 01:00PM ET,Cle
WR,Ty Montgomery (7642527),Ty Montgomery,7642527,5300,GB@Atl 04:25PM ET,GB
RB,LeGarrette Blount (7642431),LeGarrette Blount,7642431,5300,NE@Buf 01:00PM ET,NE
QB,Josh McCown (7642344),Josh McCown,7642344,5200,NYJ@Cle 01:00PM ET,Cle
QB,Tyrod Taylor (7642356),Tyrod Taylor,7642356,5200,NE@Buf 01:00PM ET,Buf
WR,Travis Benjamin (7642547),Travis Benjamin,7642547,5200,SD@Den 04:05PM ET,SD
WR,Golden Tate (7642500),Golden Tate,7642500,5100,Det@Hou 01:00PM ET,Det
RB,Tevin Coleman (7642425),Tevin Coleman,7642425,5100,GB@Atl 04:25PM ET,Atl
QB,Trevor Siemian (7642363),Trevor Siemian,7642363,5100,SD@Den 04:05PM ET,Den
QB,Carson Wentz (7642374),Carson Wentz,7642374,5100,Phi@Dal 08:30PM ET,Phi
QB,Scott Tolzien (7642325),Scott Tolzien,7642325,5000,KC@Ind 01:00PM ET,Ind
QB,Nick Foles (7642326),Nick Foles,7642326,5000,KC@Ind 01:00PM ET,KC
QB,Tyler Bray (7642328),Tyler Bray,7642328,5000,KC@Ind 01:00PM ET,KC
QB,Mike Glennon (7642329),Mike Glennon,7642329,5000,Oak@TB 01:00PM ET,TB
QB,Ryan Griffin (7642330),Ryan Griffin,7642330,5000,Oak@TB 01:00PM ET,TB
QB,Matt McGloin (7642331),Matt McGloin,7642331,5000,Oak@TB 01:00PM ET,Oak
QB,Connor Cook (7642333),Connor Cook,7642333,5000,Oak@TB 01:00PM ET,Oak
QB,Luke McCown (7642336),Luke McCown,7642336,5000,Sea@NO 01:00PM ET,NO
QB,Trevone Boykin (7642338),Trevone Boykin,7642338,5000,Sea@NO 01:00PM ET,Sea
RB,Mark Ingram (7642396),Mark Ingram,7642396,5000,Sea@NO 01:00PM ET,NO
WR,Michael Thomas (7642496),Michael Thomas,7642496,5000,Sea@NO 01:00PM ET,NO
QB,Dan Orlovsky (7642339),Dan Orlovsky,7642339,5000,Det@Hou 01:00PM ET,Det
QB,Brandon Weeden (7642341),Brandon Weeden,7642341,5000,Det@Hou 01:00PM ET,Hou
QB,Tom Savage (7642343),Tom Savage,7642343,5000,Det@Hou 01:00PM ET,Hou
RB,Theo Riddick (7642406),Theo Riddick,7642406,5000,Det@Hou 01:00PM ET,Det
QB,Bryce Petty (7642346),Bryce Petty,7642346,5000,NYJ@Cle 01:00PM ET,NYJ
QB,Cody Kessler (7642348),Cody Kessler,7642348,5000,NYJ@Cle 01:00PM ET,Cle
QB,Christian Hackenberg (7642350),Christian Hackenberg,7642350,5000,NYJ@Cle 01:00PM ET,NYJ
QB,Matt Schaub (7642353),Matt Schaub,7642353,5000,GB@Atl 04:25PM ET,Atl
QB,Brett Hundley (7642354),Brett Hundley,7642354,5000,GB@Atl 04:25PM ET,GB
QB,EJ Manuel (7642357),EJ Manuel,7642357,5000,NE@Buf 01:00PM ET,Buf
QB,Jimmy Garoppolo (7642358),Jimmy Garoppolo,7642358,5000,NE@Buf 01:00PM ET,NE
QB,Cardale Jones (7642359),Cardale Jones,7642359,5000,NE@Buf 01:00PM ET,Buf
QB,Kellen Clemens (7642360),Kellen Clemens,7642360,5000,SD@Den 04:05PM ET,SD
QB,Austin Davis (7642362),Austin Davis,7642362,5000,SD@Den 04:05PM ET,Den
QB,Paxton Lynch (7642364),Paxton Lynch,7642364,5000,SD@Den 04:05PM ET,Den
QB,Derek Anderson (7642365),Derek Anderson,7642365,5000,Ari@Car 01:00PM ET,Car
QB,Drew Stanton (7642367),Drew Stanton,7642367,5000,Ari@Car 01:00PM ET,Ari
QB,Joe Webb (7642368),Joe Webb,7642368,5000,Ari@Car 01:00PM ET,Car
QB,Mark Sanchez (7642371),Mark Sanchez,7642371,5000,Phi@Dal 08:30PM ET,Dal
QB,Chase Daniel (7642372),Chase Daniel,7642372,5000,Phi@Dal 08:30PM ET,Phi
TE,Travis Kelce (7642574),Travis Kelce,7642574,4900,KC@Ind 01:00PM ET,KC
WR,Davante Adams (7642528),Davante Adams,7642528,4900,GB@Atl 04:25PM ET,GB
RB,Jonathan Stewart (7642447),Jonathan Stewart,7642447,4900,Ari@Car 01:00PM ET,Car
WR,Quincy Enunwa (7642510),Quincy Enunwa,7642510,4800,NYJ@Cle 01:00PM ET,NYJ
RB,James White (7642435),James White,7642435,4800,NE@Buf 01:00PM ET,NE
WR,Cole Beasley (7642566),Cole Beasley,7642566,4800,Phi@Dal 08:30PM ET,Dal
RB,Frank Gore (7642375),Frank Gore,7642375,4700,KC@Ind 01:00PM ET,Ind
WR,Tyrell Williams (7642551),Tyrell Williams,7642551,4700,SD@Den 04:05PM ET,SD
WR,John Brown (7642557),John Brown,7642557,4700,Ari@Car 01:00PM ET,Ari
RB,Latavius Murray (7642387),Latavius Murray,7642387,4500,Oak@TB 01:00PM ET,Oak
WR,Corey Coleman (7642516),Corey Coleman,7642516,4500,NYJ@Cle 01:00PM ET,Cle
WR,Chris Hogan (7642540),Chris Hogan,7642540,4400,NE@Buf 01:00PM ET,NE
RB,James Starks (7642420),James Starks,7642420,4300,GB@Atl 04:25PM ET,GB
WR,Anquan Boldin (7642498),Anquan Boldin,7642498,4200,Det@Hou 01:00PM ET,Det
WR,Mohamed Sanu (7642524),Mohamed Sanu,7642524,4100,GB@Atl 04:25PM ET,Atl
WR,Michael Floyd (7642554),Michael Floyd,7642554,4100,Ari@Car 01:00PM ET,Ari
WR,Robert Woods (7642539),Robert Woods,7642539,4000,NE@Buf 01:00PM ET,Buf
TE,Martellus Bennett (7642618),Martellus Bennett,7642618,4000,NE@Buf 01:00PM ET,NE
RB,Ryan Mathews (7642457),Ryan Mathews,7642457,4000,Phi@Dal 08:30PM ET,Phi
WR,Phillip Dorsett (7642470),Phillip Dorsett,7642470,3900,KC@Ind 01:00PM ET,Ind
RB,Thomas Rawls (7642399),Thomas Rawls,7642399,3900,Sea@NO 01:00PM ET,Sea
WR,Tyler Lockett (7642493),Tyler Lockett,7642493,3900,Sea@NO 01:00PM ET,Sea
RB,Duke Johnson Jr. (7642418),Duke Johnson Jr.,7642418,3900,NYJ@Cle 01:00PM ET,Cle
WR,Ted Ginn Jr. (7642553),Ted Ginn Jr.,7642553,3900,Ari@Car 01:00PM ET,Car
RB,C.J. Spiller (7642394),C.J. Spiller,7642394,3800,Sea@NO 01:00PM ET,Sea
RB,Dwayne Washington (7642412),Dwayne Washington,7642412,3800,Det@Hou 01:00PM ET,Det
RB,Mike Gillislee (7642434),Mike Gillislee,7642434,3800,NE@Buf 01:00PM ET,Buf
WR,Devin Funchess (7642562),Devin Funchess,7642562,3800,Ari@Car 01:00PM ET,Car
WR,Brice Butler (7642564),Brice Butler,7642564,3800,Phi@Dal 08:30PM ET,Dal
RB,Zach Zenner (7642410),Zach Zenner,7642410,3700,Det@Hou 01:00PM ET,Det
RB,Isaiah Crowell (7642416),Isaiah Crowell,7642416,3700,NYJ@Cle 01:00PM ET,Cle
