"Matt Kemp_ATL","Eric Thames_MIL","Travis Shaw_MIL","Ryan Braun_MIL","Eduardo Nunez_SF","Domingo Santana_MIL","Freddie Freeman_ATL","Hunter Pence_SF","Adonis Garcia_ATL","Brandon Belt_SF","Buster Posey_SF","Ender Inciarte_ATL","Denard Span_SF","Hernan Perez_MIL","Keon Broxton_MIL","Joe Panik_SF","Tyler Flowers_ATL","Aaron Altherr_PHI","Matt Adams_ATL","Brandon Crawford_SF","Howie Kendrick_PHI","Jonathan Villar_MIL","Cesar Hernandez_PHI","Andrew Knapp_PHI","Nick Hundley_SF","Jesus Aguilar_MIL","Jarrett Parker_SF","Brandon Phillips_ATL","Daniel Nava_PHI","Tommy Joseph_PHI","Rhys Hoskins_PHI","Jace Peterson_ATL","Nick Franklin_MIL","Mac Williamson_SF","Maikel Franco_PHI","Eric Sogard_MIL","Kelby Tomlinson_SF","Nick Markakis_ATL","Kurt Suzuki_ATL","Danny Santana_ATL","Jett Bandy_MIL","Micah Johnson_ATL","Dansby Swanson_ATL","Aaron Hill_SF","Manny Pina_MIL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Orlando Arcia_MIL","Michael Saunders_PHI","Odubel Herrera_PHI","Brock Stassi_PHI","Gorkys Hernandez_SF","Conor Gillaspie_SF","Christian Arroyo_SF","Andres Blanco_PHI","Rio Ruiz_ATL","Justin Ruggiano_SF","Freddy Galvis_PHI","Cameron Rupp_PHI","Michael Morse_SF","Austin Slater_SF","Orlando Calixte_SF","Tim Federowicz_SF","Ty Kelly_PHI","Chris Marrero_SF","Anthony Recker_ATL","Emilio Bonifacio_ATL","Lane Adams_ATL","Johan Camargo_ATL"
85.3565621370499,0,0,0,0,0,10.4366666666667,0,3.08695652173913,0,0,2.05226480836237,0,0,0,0,11.8723076923077,0,0,0,0,0,0,0,0,0,0,-9.43333333333333,0,0,0,-8.68947368421053,0,0,0,0,0,13.725,0,0,0,0,22.4358974358974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,90.6781183932347,18.5519568151147,24.875,0,-3.73295454545455,0,0,0,0,0,0,0,40.462962962963,3.12436974789916,0,0,0,0,0,0,1.41565452091768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.21739130434783,0,0,0,0,0,0,4.917004048583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18.5519568151147,74.995652173913,-16.8025362318841,0,3.53949579831933,0,0,0,0,0,0,0,-0.935960591133005,10.1492063492063,0,0,0,0,0,0,1.63461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.2083333333333,0,0,0,0,0,0,4.98658536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24.875,-16.8025362318841,67.4444444444444,0,8.83766233766234,0,0,0,0,0,0,0,-0.294117647058824,-25.7761904761905,0,0,0,0,0,0,-24.9076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2435897435897,0,0,0,0,0,0,13.4683333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,44.0501960784314,0,0,10.8827586206897,0,8.09371980676329,0.0514950166112957,0,10.4401709401709,0,0,12.3363636363636,0,0,0,19.3924369747899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-3.73295454545455,3.53949579831933,8.83766233766234,0,54.2717770034843,0,0,0,0,0,0,0,-8.89316239316239,2.92380952380952,0,0,0,0,0,0,-9.66145092460882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.89723320158103,0,0,0,0,0,0,-2.09761904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.4366666666667,0,0,0,0,0,100.139495798319,0,6.87956989247312,0,0,6.03949579831933,0,0,0,0,4.62105263157895,0,0,0,0,0,0,0,0,0,0,-11.0135467980296,0,0,0,-0.792397660818713,0,0,0,0,0,-1.10168067226891,0,0,0,0,24.1016042780749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10.8827586206897,0,0,27.8618951612903,0,3.13359788359788,13.2119565217391,0,-2.63636363636364,0,0,8.12807881773399,0,0,0,15.9542483660131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.46794871794872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.08695652173913,0,0,0,0,0,6.87956989247312,0,45.6827094474153,0,0,-10.9786096256684,0,0,0,0,-12.5263157894737,0,0,0,0,0,0,0,0,0,0,-0.00284900284900285,0,0,0,5.14285714285714,0,0,0,0,0,1.36363636363636,0,0,0,0,9.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8.09371980676329,0,0,3.13359788359788,0,40.6807843137255,0.68109756097561,0,10.0413793103448,0,0,14.3333333333333,0,0,0,-3.85810810810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.12307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
