"Wil Myers_SD","Corey Seager_LAD","Adrian Gonzalez_LAD","Yasiel Puig_LAD","Logan Forsythe_LAD","Joc Pederson_LAD","Justin Turner_LAD","Ryan Schimpf_SD","Yangervis Solarte_SD","Yasmani Grandal_LAD","Chase Utley_LAD","Franklin Gutierrez_LAD","Manuel Margot_SD","Alex Dickerson_SD","Hunter Renfroe_SD","Cody Bellinger_LAD","Chris Taylor_LAD","Cory Spangenberg_SD","Trayce Thompson_LAD","Austin Barnes_LAD","Travis Jankowski_SD","Rob Segedin_LAD","Andre Ethier_LAD","Andrew Toles_LAD","Scott Van Slyke_LAD","Christian Bethancourt_SD","Austin Hedges_SD","Erick Aybar_SD","Luis Sardinas_SD","Allen Cordoba_SD","Jabari Blash_SD","Hector Sanchez_SD","Luis Torrens_SD"
93.4242424242424,0,0,0,0,0,0,-1.33333333333333,21.9545454545455,0,0,0,6.77272727272727,0,24.8939393939394,0,0,0,0,0,-4.37878787878788,0,0,0,0,-4.85,-17.6969696969697,-1.99090909090909,-4.5,-10.5454545454545,1.64285714285714,0,4.69090909090909
0,74.6969696969697,19.7878787878788,29.2575757575758,44.469696969697,33.4090909090909,44.2424242424242,0,0,23.5909090909091,-1.15151515151515,1.8030303030303,0,0,0,0,0,0,0,36.7878787878788,0,-3.71212121212121,0,11.7121212121212,13.3030303030303,0,0,0,0,0,0,0,0
0,0,19.969696969697,0,7.10606060606061,16.8636363636364,18.1515151515152,0,0,13.4090909090909,-0.787878787878788,3.98484848484848,0,0,0,0,0,0,0,5.51515151515152,0,-0.984848484848485,0,9.34848484848485,-0.333333333333333,0,0,0,0,0,0,0,0
0,0,3.62121212121212,86.4469696969697,4.87121212121212,-2.75,20.1666666666667,0,0,-0.704545454545455,-1.84848484848485,-8.50757575757576,0,0,0,0,0,0,0,18.4848484848485,0,-2.76515151515152,0,-6.14393939393939,15.6060606060606,0,0,0,0,0,0,0,0
0,0,0,0,37.9015151515151,14.9772727272727,21.3787878787879,0,0,4.65909090909091,-0.878787878787879,4.64393939393939,0,0,0,0,0,0,0,28.969696969697,0,-1.09848484848485,0,2.82575757575758,10.6666666666667,0,0,0,0,0,0,0,0
0,0,0,0,0,36.9318181818182,24.4090909090909,0,0,44.7045454545455,-0.818181818181818,-0.0681818181818182,0,0,0,0,0,0,0,0.727272727272727,0,-1.93181818181818,0,9.29545454545454,-2.54545454545455,0,0,0,0,0,0,0,0
0,0,0,0,0,0,40.8787878787879,0,0,22.2272727272727,-2.96969696969697,-2.74242424242424,0,0,0,0,0,0,0,16.4242424242424,0,-0.53030303030303,0,0.439393939393939,5.66666666666667,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,58.969696969697,7.27272727272727,0,0,0,-10.7272727272727,0,-20.2121212121212,0,0,0,0,0,-2.03030303030303,0,0,0,0,3.27272727272727,-17.5757575757576,1.14545454545455,-4.72727272727273,-9.52727272727273,3.64285714285714,0,-0.345454545454545
0,0,0,0,0,0,0,0,52.2045454545455,0,0,0,5.15909090909091,0,-21.2045454545455,0,0,0,0,0,7.11363636363636,0,0,0,0,-2.41590909090909,-10.6363636363636,20.2636363636364,0.886363636363636,-8.41818181818182,1.89285714285714,0,-0.763636363636364
0,0,0,0,0,0,0,0,0,69.6590909090909,-1.36363636363636,-5.93181818181818,0,0,0,0,0,0,0,-16.7272727272727,0,-1.25,0,10.25,-7.81818181818182,0,0,0,0,0,0,0,0
