"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR"
"WR","Antonio Brown (0000000)","Antonio Brown",0,9500,"Pit@Cle 00:00PM ET","Pit","Antonio","Brown","Cle",24.31,23.3,1,0.28686327077748,0
"RB","Le'Veon Bell (0000000)","Le'Veon Bell",0,8800,"Pit@Cle 00:00PM ET","Pit","Le'Veon","Bell","Cle",29.16,28.8,2,0.152815013404826,0
"WR","Odell Beckham (0000000)","Odell Beckham",0,8500,"Chi@NYG 00:00PM ET","NYG","Odell","Beckham","Chi",22.52,19.9,1,0.270700636942675,0
"WR","A.J. Green (0000000)","A.J. Green",0,8300,"Buf@Cin 00:00PM ET","Cin","A.J.","Green","Buf",20.92,20.7,1,0.317725752508361,0
"RB","DeMarco Murray (0000000)","DeMarco Murray",0,8200,"Ten@Ind 00:00PM ET","Ten","DeMarco","Murray","Ind",21.87,17.7,4,0.13677811550152,0
"WR","Mike Evans (0000000)","Mike Evans",0,8100,"TB@KC 00:00PM ET","TB","Mike","Evans","KC",22.17,20.7,1,0.314447592067989,0
"RB","Ezekiel Elliott (0000000)","Ezekiel Elliott",0,8000,"Bal@Dal 00:00PM ET","Dal","Ezekiel","Elliott","Bal",19.23,16.9,6,0.0761245674740484,0
"RB","David Johnson (0000000)","David Johnson",0,7900,"Ari@Min 00:00PM ET","Ari","David","Johnson","Min",20.69,19.8,2,0.1640625,0
"QB","Cam Newton (0000000)","Cam Newton",0,7900,"NO@Car 00:00PM ET","Car","Cam","Newton","NO",24.43,23.4,0,0,0
"WR","Jordy Nelson (0000000)","Jordy Nelson",0,7800,"GB@Was 00:00PM ET","GB","Jordy","Nelson","Was",20.12,18.2,1,0.243523316062176,0
"QB","Tom Brady (0000000)","Tom Brady",0,7800,"NE@SF 00:00PM ET","NE","Tom","Brady","SF",23.81,20.7,0,0,0
"WR","T.Y. Hilton (0000000)","T.Y. Hilton",0,7700,"Ten@Ind 00:00PM ET","Ind","T.Y.","Hilton","Ten",19.06,20.3,1,0.277777777777778,0
"QB","Aaron Rodgers (0000000)","Aaron Rodgers",0,7600,"GB@Was 00:00PM ET","GB","Aaron","Rodgers","Was",22.24,21,0,0,0
"QB","Drew Brees (0000000)","Drew Brees",0,7600,"NO@Car 00:00PM ET","NO","Drew","Brees","Car",22.08,21.9,0,0,0
"QB","Ben Roethlisberger (0000000)","Ben Roethlisberger",0,7500,"Pit@Cle 00:00PM ET","Pit","Ben","Roethlisberger","Cle",20.34,21.3,0,0,0
"WR","Amari Cooper (0000000)","Amari Cooper",0,7500,"Hou@Oak 00:00PM ET","Oak","Amari","Cooper","Hou",18.16,16.5,1,0.267379679144385,0
"WR","Allen Robinson (0000000)","Allen Robinson",0,7400,"Jax@Det 00:00PM ET","Jax","Allen","Robinson","Det",16.89,17.4,1,0.25,0
"WR","Kelvin Benjamin (0000000)","Kelvin Benjamin",0,7300,"NO@Car 00:00PM ET","Car","Kelvin","Benjamin","NO",18.26,13.8,2,0.229166666666667,0
"WR","Dez Bryant (0000000)","Dez Bryant",0,7200,"Bal@Dal 00:00PM ET","Dal","Dez","Bryant","Bal",17.24,14.1,3,0.179930795847751,0
"QB","Andrew Luck (0000000)","Andrew Luck",0,7200,"Ten@Ind 00:00PM ET","Ind","Andrew","Luck","Ten",23.3,19.9,0,0,0
"WR","Larry Fitzgerald (0000000)","Larry Fitzgerald",0,7100,"Ari@Min 00:00PM ET","Ari","Larry","Fitzgerald","Min",17.16,16.9,1,0.268229166666667,0
"TE","Rob Gronkowski (0000000)","Rob Gronkowski",0,7100,"NE@SF 00:00PM ET","NE","Rob","Gronkowski","SF",0,0,4,0.128289473684211,0
"WR","Brandin Cooks (0000000)","Brandin Cooks",0,7000,"NO@Car 00:00PM ET","NO","Brandin","Cooks","Car",15.77,16.2,2,0.183023872679045,0
"WR","Stefon Diggs (0000000)","Stefon Diggs",0,7000,"Ari@Min 00:00PM ET","Min","Stefon","Diggs","Ari",18.84,16.8,1,0.254601226993865,0
"WR","Alshon Jeffery (0000000)","Alshon Jeffery",0,6900,"Chi@NYG 00:00PM ET","Chi","Alshon","Jeffery","NYG",0,0,1,0.227692307692308,0
"RB","LeSean McCoy (0000000)","LeSean McCoy",0,6900,"Buf@Cin 00:00PM ET","Buf","LeSean","McCoy","Cin",17.21,18.2,4,0.108695652173913,0
"RB","Jay Ajayi (0000000)","Jay Ajayi",0,6800,"Mia@LA 00:00PM ET","Mia","Jay","Ajayi","LA",17.72,15.6,5,0.060377358490566,0
"WR","Davante Adams (0000000)","Davante Adams",0,6700,"GB@Was 00:00PM ET","GB","Davante","Adams","Was",15.69,10.3,2,0.204663212435233,0
"QB","Marcus Mariota (0000000)","Marcus Mariota",0,6700,"Ten@Ind 00:00PM ET","Ten","Marcus","Mariota","Ind",19.69,18.9,0,0,0
"WR","Michael Thomas (0000000)","Michael Thomas",0,6600,"NO@Car 00:00PM ET","NO","Michael","Thomas","Car",14.7,14.2,1,0.188328912466843,0
"QB","Matthew Stafford (0000000)","Matthew Stafford",0,6600,"Jax@Det 00:00PM ET","Det","Matthew","Stafford","Jax",19.42,18.1,0,0,0
"WR","Jarvis Landry (0000000)","Jarvis Landry",0,6600,"Mia@LA 00:00PM ET","Mia","Jarvis","Landry","LA",16.65,14.9,1,0.29811320754717,0
"TE","Greg Olsen (0000000)","Greg Olsen",0,6500,"NO@Car 00:00PM ET","Car","Greg","Olsen","NO",19.01,16.2,1,0.232142857142857,0
"WR","DeAndre Hopkins (0000000)","DeAndre Hopkins",0,6500,"Hou@Oak 00:00PM ET","Hou","DeAndre","Hopkins","Oak",15.23,16.7,1,0.276073619631902,0
"WR","Michael Crabtree (0000000)","Michael Crabtree",0,6500,"Hou@Oak 00:00PM ET","Oak","Michael","Crabtree","Hou",17.14,13.1,2,0.232620320855615,0
"QB","Derek Carr (0000000)","Derek Carr",0,6400,"Hou@Oak 00:00PM ET","Oak","Derek","Carr","Hou",19.75,16.6,0,0,0
"RB","LeGarrette Blount (0000000)","LeGarrette Blount",0,6400,"NE@SF 00:00PM ET","NE","LeGarrette","Blount","SF",16.24,15.4,8,0.0197368421052632,0
"WR","Julian Edelman (0000000)","Julian Edelman",0,6300,"NE@SF 00:00PM ET","NE","Julian","Edelman","SF",15.07,19.1,1,0.25,0
"QB","Eli Manning (0000000)","Eli Manning",0,6300,"Chi@NYG 00:00PM ET","NYG","Eli","Manning","Chi",18.63,17.7,0,0,0
"QB","Russell Wilson (0000000)","Russell Wilson",0,6100,"Phi@Sea 00:00PM ET","Sea","Russell","Wilson","Phi",19.27,18.6,14,0.0032258064516129,0
"WR","Donte Moncrief (0000000)","Donte Moncrief",0,6100,"Ten@Ind 00:00PM ET","Ind","Donte","Moncrief","Ten",13.94,15.2,7,0.0694444444444444,0
"QB","Dak Prescott (0000000)","Dak Prescott",0,6000,"Bal@Dal 00:00PM ET","Dal","Dak","Prescott","Bal",18.05,15.7,0,0,0
"WR","Steve Smith (0000000)","Steve Smith",0,6000,"Bal@Dal 00:00PM ET","Bal","Steve","Smith","Dal",13.55,13.8,3,0.147368421052632,0
"RB","Spencer Ware (0000000)","Spencer Ware",0,6000,"TB@KC 00:00PM ET","KC","Spencer","Ware","TB",16.05,18.5,6,0.0792682926829268,0
"QB","Jameis Winston (0000000)","Jameis Winston",0,5900,"TB@KC 00:00PM ET","TB","Jameis","Winston","KC",17.58,17.1,0,0,0
"RB","Jonathan Stewart (0000000)","Jonathan Stewart",0,5900,"NO@Car 00:00PM ET","Car","Jonathan","Stewart","NO",15.57,13,8,0.0238095238095238,0
"TE","Jordan Reed (0000000)","Jordan Reed",0,5900,"GB@Was 00:00PM ET","Was","Jordan","Reed","GB",18.5,14.7,2,0.175342465753425,0
"RB","DeAngelo Williams (0000000)","DeAngelo Williams",0,5900,"Pit@Cle 00:00PM ET","Pit","DeAngelo","Williams","Cle",0,0,6,0.0616621983914209,0
"WR","Randall Cobb (0000000)","Randall Cobb",0,5900,"GB@Was 00:00PM ET","GB","Randall","Cobb","Was",14.01,13.4,3,0.178756476683938,0
"QB","Kirk Cousins (0000000)","Kirk Cousins",0,5800,"GB@Was 00:00PM ET","Was","Kirk","Cousins","GB",18.36,20.1,0,0,0
"RB","Jordan Howard (0000000)","Jordan Howard",0,5800,"Chi@NYG 00:00PM ET","Chi","Jordan","Howard","NYG",13.96,11.8,6,0.08,0
"RB","Lamar Miller (0000000)","Lamar Miller",0,5800,"Hou@Oak 00:00PM ET","Hou","Lamar","Miller","Oak",16.12,13,5,0.0889570552147239,0
"WR","Doug Baldwin (0000000)","Doug Baldwin",0,5700,"Phi@Sea 00:00PM ET","Sea","Doug","Baldwin","Phi",16.25,13.6,1,0.232258064516129,0
"TE","Delanie Walker (0000000)","Delanie Walker",0,5700,"Ten@Ind 00:00PM ET","Ten","Delanie","Walker","Ind",14.74,12.3,2,0.194528875379939,0
"QB","Andy Dalton (0000000)","Andy Dalton",0,5700,"Buf@Cin 00:00PM ET","Cin","Andy","Dalton","Buf",18.9,18.4,0,0,0
"QB","Carson Palmer (0000000)","Carson Palmer",0,5600,"Ari@Min 00:00PM ET","Ari","Carson","Palmer","Min",17.07,15.8,0,0,0
"QB","Tyrod Taylor (0000000)","Tyrod Taylor",0,5600,"Buf@Cin 00:00PM ET","Buf","Tyrod","Taylor","Cin",18.07,17.5,0,0,0
"WR","Terrelle Pryor (0000000)","Terrelle Pryor",0,5600,"Pit@Cle 00:00PM ET","Cle","Terrelle","Pryor","Pit",14.75,16.2,1,0.257703081232493,0
"TE","Jimmy Graham (0000000)","Jimmy Graham",0,5600,"Phi@Sea 00:00PM ET","Sea","Jimmy","Graham","Phi",13.41,11.8,2,0.193548387096774,0
"WR","Jeremy Maclin (0000000)","Jeremy Maclin",0,5600,"TB@KC 00:00PM ET","KC","Jeremy","Maclin","TB",0,0,2,0.170731707317073,0
"RB","Latavius Murray (0000000)","Latavius Murray",0,5500,"Hou@Oak 00:00PM ET","Oak","Latavius","Murray","Hou",14.6,12.4,5,0.0695187165775401,0
"QB","Joe Flacco (0000000)","Joe Flacco",0,5500,"Bal@Dal 00:00PM ET","Bal","Joe","Flacco","Dal",16.59,15.7,0,0,0
"QB","Tony Romo (0000000)","Tony Romo",0,5500,"Bal@Dal 00:00PM ET","Dal","Tony","Romo","Bal",0,0,0,0,0
"WR","Mike Wallace (0000000)","Mike Wallace",0,5500,"Bal@Dal 00:00PM ET","Bal","Mike","Wallace","Dal",13.5,10.7,1,0.197368421052632,0
"WR","Jordan Matthews (0000000)","Jordan Matthews",0,5400,"Phi@Sea 00:00PM ET","Phi","Jordan","Matthews","Sea",13.21,16.3,1,0.253289473684211,0
"WR","Jamison Crowder (0000000)","Jamison Crowder",0,5400,"GB@Was 00:00PM ET","Was","Jamison","Crowder","GB",13.09,12.9,3,0.16986301369863,0
"RB","Doug Martin (0000000)","Doug Martin",0,5400,"TB@KC 00:00PM ET","TB","Doug","Martin","KC",12.83,13.2,9,0.0198300283286119,0
"QB","Blake Bortles (0000000)","Blake Bortles",0,5400,"Jax@Det 00:00PM ET","Jax","Blake","Bortles","Det",19.28,18.1,0,0,0
"TE","Tyler Eifert (0000000)","Tyler Eifert",0,5400,"Buf@Cin 00:00PM ET","Cin","Tyler","Eifert","Buf",15.17,11.1,6,0.0501672240802676,0
"RB","Mark Ingram (0000000)","Mark Ingram",0,5300,"NO@Car 00:00PM ET","NO","Mark","Ingram","Car",12.47,11.1,6,0.0795755968169761,0
"RB","Derrick Henry (0000000)","Derrick Henry",0,5300,"Ten@Ind 00:00PM ET","Ten","Derrick","Henry","Ind",5.22,7.9,8,0.033434650455927,0
"QB","Alex Smith (0000000)","Alex Smith",0,5300,"TB@KC 00:00PM ET","KC","Alex","Smith","TB",15.57,17.9,15,0.00304878048780488,0
"WR","Will Fuller (0000000)","Will Fuller",0,5300,"Hou@Oak 00:00PM ET","Hou","Will","Fuller","Oak",12.31,11.2,2,0.156441717791411,0
"WR","Cole Beasley (0000000)","Cole Beasley",0,5300,"Bal@Dal 00:00PM ET","Dal","Cole","Beasley","Bal",11.56,9.4,1,0.224913494809689,0
"WR","Golden Tate (0000000)","Golden Tate",0,5300,"Jax@Det 00:00PM ET","Det","Golden","Tate","Jax",14.58,16.7,1,0.237951807228916,0
"QB","Jay Cutler (0000000)","Jay Cutler",0,5200,"Chi@NYG 00:00PM ET","Chi","Jay","Cutler","NYG",15.27,16.3,0,0,0
"QB","Colin Kaepernick (0000000)","Colin Kaepernick",0,5200,"NE@SF 00:00PM ET","SF","Colin","Kaepernick","NE",18.35,16.9,0,0,0
"RB","Jacquizz Rodgers (0000000)","Jacquizz Rodgers",0,5200,"TB@KC 00:00PM ET","TB","Jacquizz","Rodgers","KC",0,0,8,0.0368271954674221,0
"WR","Kenny Britt (0000000)","Kenny Britt",0,5200,"Mia@LA 00:00PM ET","LA","Kenny","Britt","Mia",13.4,10.4,2,0.21656050955414,0
"QB","Sam Bradford (0000000)","Sam Bradford",0,5100,"Ari@Min 00:00PM ET","Min","Sam","Bradford","Ari",14.66,13.1,13,0.00306748466257669,0
"WR","Rishard Matthews (0000000)","Rishard Matthews",0,5100,"Ten@Ind 00:00PM ET","Ten","Rishard","Matthews","Ind",12.18,11.7,3,0.158054711246201,0
"RB","Christine Michael (0000000)","Christine Michael",0,5100,"Phi@Sea 00:00PM ET","Sea","Christine","Michael","Phi",0,0,5,0.0870967741935484,0
"WR","Ty Montgomery (0000000)","Ty Montgomery",0,5100,"GB@Was 00:00PM ET","GB","Ty","Montgomery","Was",8.1,7.2,5,0.0829015544041451,0
"QB","Brock Osweiler (0000000)","Brock Osweiler",0,5100,"Hou@Oak 00:00PM ET","Hou","Brock","Osweiler","Oak",13.98,15.7,0,0,0
"RB","Theo Riddick (0000000)","Theo Riddick",0,5100,"Jax@Det 00:00PM ET","Det","Theo","Riddick","Jax",15.23,14.6,4,0.144578313253012,0
"QB","Ryan Tannehill (0000000)","Ryan Tannehill",0,5100,"Mia@LA 00:00PM ET","Mia","Ryan","Tannehill","LA",16.44,14.8,0,0,0
"QB","Luke McCown (0000000)","Luke McCown",0,5000,"NO@Car 00:00PM ET","NO","Luke","McCown","Car",0,0,0,0,0
"QB","Joe Webb (0000000)","Joe Webb",0,5000,"NO@Car 00:00PM ET","Car","Joe","Webb","NO",0,0,10,0.00297619047619048,0
"WR","Willie Snead (0000000)","Willie Snead",0,5000,"NO@Car 00:00PM ET","NO","Willie","Snead","Car",14.27,22.35,3,0.153846153846154,1
"QB","Josh McCown (0000000)","Josh McCown",0,5000,"Pit@Cle 00:00PM ET","Cle","Josh","McCown","Pit",0,0,0,0,0
"QB","Landry Jones (0000000)","Landry Jones",0,5000,"Pit@Cle 00:00PM ET","Pit","Landry","Jones","Cle",0,0,0,0,0
"QB","Zach Mettenberger (0000000)","Zach Mettenberger",0,5000,"Pit@Cle 00:00PM ET","Pit","Zach","Mettenberger","Cle",0,0,0,0,0
"QB","Cody Kessler (0000000)","Cody Kessler",0,5000,"Pit@Cle 00:00PM ET","Cle","Cody","Kessler","Pit",14.17,17,0,0,0
"QB","Kevin Hogan (0000000)","Kevin Hogan",0,5000,"Pit@Cle 00:00PM ET","Cle","Kevin","Hogan","Pit",0,0,0,0,0
"QB","Joe Callahan (0000000)","Joe Callahan",0,5000,"Pit@Cle 00:00PM ET","Cle","Joe","Callahan","Pit",0,0,0,0,0
"QB","Mark Sanchez (0000000)","Mark Sanchez",0,5000,"Bal@Dal 00:00PM ET","Dal","Mark","Sanchez","Bal",0,0,0,0,0
"QB","Ryan Mallett (0000000)","Ryan Mallett",0,5000,"Bal@Dal 00:00PM ET","Bal","Ryan","Mallett","Dal",0,0,0,0,0
"QB","Dan Orlovsky (0000000)","Dan Orlovsky",0,5000,"Jax@Det 00:00PM ET","Det","Dan","Orlovsky","Jax",0,0,0,0,0
"QB","Chad Henne (0000000)","Chad Henne",0,5000,"Jax@Det 00:00PM ET","Jax","Chad","Henne","Det",0,0,0,0,0
"QB","Brandon Allen (0000000)","Brandon Allen",0,5000,"Jax@Det 00:00PM ET","Jax","Brandon","Allen","Det",0,0,0,0,0
"WR","Marvin Jones (0000000)","Marvin Jones",0,5000,"Jax@Det 00:00PM ET","Det","Marvin","Jones","Jax",12.48,17.25,2,0.22289156626506,1
"QB","Matt Cassel (0000000)","Matt Cassel",0,5000,"Ten@Ind 00:00PM ET","Ten","Matt","Cassel","Ind",0,0,0,0,0
"QB","Scott Tolzien (0000000)","Scott Tolzien",0,5000,"Ten@Ind 00:00PM ET","Ind","Scott","Tolzien","Ten",0,0,0,0,0
"RB","Frank Gore (0000000)","Frank Gore",0,5000,"Ten@Ind 00:00PM ET","Ind","Frank","Gore","Ten",13.83,10.7,3,0.0944444444444444,0
"QB","EJ Manuel (0000000)","EJ Manuel",0,5000,"Buf@Cin 00:00PM ET","Buf","EJ","Manuel","Cin",0,0,0,0,0
"QB","AJ McCarron (0000000)","AJ McCarron",0,5000,"Buf@Cin 00:00PM ET","Cin","AJ","McCarron","Buf",0,0,0,0,0
"QB","Jeff Driskel (0000000)","Jeff Driskel",0,5000,"Buf@Cin 00:00PM ET","Cin","Jeff","Driskel","Buf",0,0,0,0,0
"QB","Cardale Jones (0000000)","Cardale Jones",0,5000,"Buf@Cin 00:00PM ET","Buf","Cardale","Jones","Cin",0,0,0,0,0
"QB","Nick Foles (0000000)","Nick Foles",0,5000,"TB@KC 00:00PM ET","KC","Nick","Foles","TB",0,0,0,0,0
"QB","Mike Glennon (0000000)","Mike Glennon",0,5000,"TB@KC 00:00PM ET","TB","Mike","Glennon","KC",0,0,0,0,0
"QB","Ryan Griffin (0000000)","Ryan Griffin",0,5000,"TB@KC 00:00PM ET","TB","Ryan","Griffin","KC",0,0,0,0,0
"QB","Tyler Bray (0000000)","Tyler Bray",0,5000,"TB@KC 00:00PM ET","KC","Tyler","Bray","TB",0,0,0,0,0
"RB","Charcandrick West (0000000)","Charcandrick West",0,5000,"TB@KC 00:00PM ET","KC","Charcandrick","West","TB",5.38,6.4,7,0.0762195121951219,0
"QB","Josh Johnson (0000000)","Josh Johnson",0,5000,"Chi@NYG 00:00PM ET","NYG","Josh","Johnson","Chi",0,0,0,0,0
"QB","Ryan Nassib (0000000)","Ryan Nassib",0,5000,"Chi@NYG 00:00PM ET","NYG","Ryan","Nassib","Chi",0,0,0,0,0
"QB","Matt Barkley (0000000)","Matt Barkley",0,5000,"Chi@NYG 00:00PM ET","Chi","Matt","Barkley","NYG",0,0,0,0,0
"QB","Derek Anderson (0000000)","Derek Anderson",0,5000,"NO@Car 00:00PM ET","Car","Derek","Anderson","NO",0,0,0,0,0
"QB","Drew Stanton (0000000)","Drew Stanton",0,5000,"Ari@Min 00:00PM ET","Ari","Drew","Stanton","Min",0,0,0,0,0
"QB","Taylor Heinicke (0000000)","Taylor Heinicke",0,5000,"Ari@Min 00:00PM ET","Min","Taylor","Heinicke","Ari",0,0,0,0,0
"QB","Matt Moore (0000000)","Matt Moore",0,5000,"Mia@LA 00:00PM ET","Mia","Matt","Moore","LA",0,0,0,0,0
"QB","Case Keenum (0000000)","Case Keenum",0,5000,"Mia@LA 00:00PM ET","LA","Case","Keenum","Mia",0,0,0,0,0
"QB","Sean Mannion (0000000)","Sean Mannion",0,5000,"Mia@LA 00:00PM ET","LA","Sean","Mannion","Mia",0,0,0,0,0
"QB","Jared Goff (0000000)","Jared Goff",0,5000,"Mia@LA 00:00PM ET","LA","Jared","Goff","Mia",13.9,13,0,0,0
"RB","Todd Gurley (0000000)","Todd Gurley",0,5000,"Mia@LA 00:00PM ET","LA","Todd","Gurley","Mia",14.32,14.8,5,0.10828025477707,0
"QB","Christian Ponder (0000000)","Christian Ponder",0,5000,"NE@SF 00:00PM ET","SF","Christian","Ponder","NE",0,0,0,0,0
"QB","Blaine Gabbert (0000000)","Blaine Gabbert",0,5000,"NE@SF 00:00PM ET","SF","Blaine","Gabbert","NE",0,0,13,0.00357142857142857,0
"QB","Jimmy Garoppolo (0000000)","Jimmy Garoppolo",0,5000,"NE@SF 00:00PM ET","NE","Jimmy","Garoppolo","SF",0,0,11,0.00328947368421053,0
"QB","Chase Daniel (0000000)","Chase Daniel",0,5000,"Phi@Sea 00:00PM ET","Phi","Chase","Daniel","Sea",0,0,0,0,0
"QB","Trevone Boykin (0000000)","Trevone Boykin",0,5000,"Phi@Sea 00:00PM ET","Sea","Trevone","Boykin","Phi",0,0,0,0,0
"QB","Carson Wentz (0000000)","Carson Wentz",0,5000,"Phi@Sea 00:00PM ET","Phi","Carson","Wentz","Sea",13.26,14.4,0,0,0
"QB","Colt McCoy (0000000)","Colt McCoy",0,5000,"GB@Was 00:00PM ET","Was","Colt","McCoy","GB",0,0,0,0,0
"QB","Brett Hundley (0000000)","Brett Hundley",0,5000,"GB@Was 00:00PM ET","GB","Brett","Hundley","Was",0,0,0,0,0
"QB","Nate Sudfeld (0000000)","Nate Sudfeld",0,5000,"GB@Was 00:00PM ET","Was","Nate","Sudfeld","GB",0,0,0,0,0
"QB","Brandon Weeden (0000000)","Brandon Weeden",0,5000,"Hou@Oak 00:00PM ET","Hou","Brandon","Weeden","Oak",0,0,0,0,0
"QB","Matt McGloin (0000000)","Matt McGloin",0,5000,"Hou@Oak 00:00PM ET","Oak","Matt","McGloin","Hou",0,0,0,0,0
"QB","Tom Savage (0000000)","Tom Savage",0,5000,"Hou@Oak 00:00PM ET","Hou","Tom","Savage","Oak",0,0,0,0,0
"QB","Connor Cook (0000000)","Connor Cook",0,5000,"Hou@Oak 00:00PM ET","Oak","Connor","Cook","Hou",0,0,0,0,0
"QB","Shaun Hill (0000000)","Shaun Hill",0,5000,"Ari@Min 00:00PM ET","Min","Shaun","Hill","Ari",0,0,0,0,0
"WR","Robert Woods (0000000)","Robert Woods",0,4900,"Buf@Cin 00:00PM ET","Buf","Robert","Woods","Cin",12.63,17.4,1,0.221014492753623,1
"RB","Carlos Hyde (0000000)","Carlos Hyde",0,4900,"NE@SF 00:00PM ET","SF","Carlos","Hyde","NE",14,12,6,0.0535714285714286,0
"WR","DeSean Jackson (0000000)","DeSean Jackson",0,4800,"GB@Was 00:00PM ET","Was","DeSean","Jackson","GB",12,18.45,4,0.167123287671233,1
"RB","James White (0000000)","James White",0,4800,"NE@SF 00:00PM ET","NE","James","White","SF",9.56,11.9,2,0.171052631578947,0
"RB","Alfred Morris (0000000)","Alfred Morris",0,4700,"Bal@Dal 00:00PM ET","Dal","Alfred","Morris","Bal",2.56,3.5,9,0.013840830449827,0
"TE","Travis Kelce (0000000)","Travis Kelce",0,4700,"TB@KC 00:00PM ET","KC","Travis","Kelce","TB",13.86,12.5,1,0.179878048780488,0
"WR","Sterling Shepard (0000000)","Sterling Shepard",0,4700,"Chi@NYG 00:00PM ET","NYG","Sterling","Shepard","Chi",11.67,17.4,2,0.17515923566879,1
"WR","J.J. Nelson (0000000)","J.J. Nelson",0,4700,"Ari@Min 00:00PM ET","Ari","J.J.","Nelson","Min",9.22,14.25,5,0.0859375,1
"WR","Chris Hogan (0000000)","Chris Hogan",0,4700,"NE@SF 00:00PM ET","NE","Chris","Hogan","SF",0,0,5,0.115131578947368,1
"RB","Tim Hightower (0000000)","Tim Hightower",0,4700,"NO@Car 00:00PM ET","NO","Tim","Hightower","Car",10.13,8.8,11,0.0212201591511936,0
"WR","Corey Coleman (0000000)","Corey Coleman",0,4700,"Pit@Cle 00:00PM ET","Cle","Corey","Coleman","Pit",11.8,20.85,7,0.0700280112044818,1
"RB","Giovani Bernard (0000000)","Giovani Bernard",0,4600,"Buf@Cin 00:00PM ET","Cin","Giovani","Bernard","Buf",11.47,11.5,3,0.1438127090301,0
"RB","Darren Sproles (0000000)","Darren Sproles",0,4500,"Phi@Sea 00:00PM ET","Phi","Darren","Sproles","Sea",11.64,7.6,3,0.154605263157895,0
"WR","Tyreek Hill (0000000)","Tyreek Hill",0,4500,"TB@KC 00:00PM ET","KC","Tyreek","Hill","TB",11.77,18.45,4,0.121951219512195,1
"RB","Jeremy Hill (0000000)","Jeremy Hill",0,4400,"Buf@Cin 00:00PM ET","Cin","Jeremy","Hill","Buf",10.36,9.4,7,0.040133779264214,0
"RB","Rob Kelley (0000000)","Rob Kelley",0,4400,"GB@Was 00:00PM ET","Was","Rob","Kelley","GB",0,10.4,11,0.010958904109589,0
"RB","Terrance West (0000000)","Terrance West",0,4400,"Bal@Dal 00:00PM ET","Bal","Terrance","West","Dal",10.02,7.4,7,0.0578947368421053,0
"WR","Eli Rogers (0000000)","Eli Rogers",0,4300,"Pit@Cle 00:00PM ET","Pit","Eli","Rogers","Cle",11.2,13.5,5,0.0938337801608579,1
"RB","Thomas Rawls (0000000)","Thomas Rawls",0,4300,"Phi@Sea 00:00PM ET","Sea","Thomas","Rawls","Phi",9.7,5.9,9,0.0193548387096774,0
"RB","Alfred Blue (0000000)","Alfred Blue",0,4300,"Hou@Oak 00:00PM ET","Hou","Alfred","Blue","Oak",0,0,11,0.0122699386503067,0
"RB","Ryan Mathews (0000000)","Ryan Mathews",0,4200,"Phi@Sea 00:00PM ET","Phi","Ryan","Mathews","Sea",8.74,8.1,7,0.0361842105263158,0
"RB","C.J. Prosise (0000000)","C.J. Prosise",0,4200,"Phi@Sea 00:00PM ET","Sea","C.J.","Prosise","Phi",12.78,12.8,7,0.0548387096774194,0
"RB","James Starks (0000000)","James Starks",0,4200,"GB@Was 00:00PM ET","GB","James","Starks","Was",12.47,13.2,7,0.0362694300518135,0
"RB","Cameron Artis-Payne (0000000)","Cameron Artis-Payne",0,4200,"NO@Car 00:00PM ET","Car","Cameron","Artis-Payne","NO",0,0,10,0.00297619047619048,0
"WR","Kendall Wright (0000000)","Kendall Wright",0,4200,"Ten@Ind 00:00PM ET","Ten","Kendall","Wright","Ind",9.72,11.4,5,0.088145896656535,1
"RB","Mike Gillislee (0000000)","Mike Gillislee",0,4100,"Buf@Cin 00:00PM ET","Buf","Mike","Gillislee","Cin",5.22,4.6,7,0.036231884057971,0
"TE","Eric Ebron (0000000)","Eric Ebron",0,4100,"Jax@Det 00:00PM ET","Det","Eric","Ebron","Jax",13.41,10.3,5,0.132530120481928,0
