"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Aaron Nola","Adam Wainwright","Kevin Plawecki","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Didi Gregorius","Charlie Blackmon","Carlos Gonzalez","Michael Saunders"
"Marco Estrada","Adam Wainwright","Willson Contreras","Anthony Rizzo","Ian Happ","Kris Bryant","Francisco Lindor","Aaron Altherr","Jacoby Ellsbury","Jason Heyward"
"Wade Miley","Matt Cain","Salvador Perez","Ryan Zimmerman","Daniel Murphy","Evan Longoria","Carlos Correa","Bryce Harper","Jayson Werth","Michael Taylor"
"Chris Archer","Jesse Chavez","Kurt Suzuki","Rickie Weeks","Daniel Murphy","Evan Longoria","Tim Beckham","Corey Dickerson","Michael Taylor","Steven Souza"
"Chris Archer","Jake Junis","Willson Contreras","Anthony Rizzo","Ian Happ","Kris Bryant","Trea Turner","Adam Jones","Curtis Granderson","Jason Heyward"
"Jesse Chavez","Adam Wainwright","Jose Lobaton","Ryan Zimmerman","Daniel Murphy","Manny Machado","Didi Gregorius","Corey Dickerson","Jayson Werth","Michael Taylor"
"Stephen Strasburg","Tommy Milone","Welington Castillo","Matt Carpenter","Starlin Castro","Chase Headley","Didi Gregorius","Aaron Judge","Aaron Altherr","Jacoby Ellsbury"
"Jesse Chavez","Aaron Nola","Jason Castro","Matt Carpenter","Jose Altuve","Alex Bregman","Francisco Lindor","George Springer","Josh Reddick","Norichika Aoki"
"Marco Estrada","Aaron Nola","Kevin Plawecki","Anthony Rizzo","Ian Happ","Kris Bryant","Trea Turner","Kyle Schwarber","Michael Saunders","Jason Heyward"
"Chris Archer","Adam Wainwright","Yadier Molina","Matt Carpenter","DJ LeMahieu","Jhonny Peralta","Aledmys Diaz","Adam Jones","Michael Saunders","Tommy Pham"
"Phil Hughes","Jake Junis","Welington Castillo","Chris Davis","Daniel Murphy","Manny Machado","Francisco Lindor","Bryce Harper","Mark Trumbo","Adam Jones"
"Chris Archer","Aaron Nola","Nick Hundley","Brandon Belt","Daniel Murphy","Eduardo Nunez","Brandon Crawford","Bryce Harper","Michael Taylor","Mac Williamson"
"Jesse Chavez","Aaron Nola","Welington Castillo","Mark Reynolds","Jose Peraza","Maikel Franco","Freddy Galvis","Aaron Altherr","Michael Saunders","Odubel Herrera"
"Aaron Nola","Adam Wainwright","Jason Castro","Kennys Vargas","Daniel Murphy","Kris Bryant","Jorge Polanco","Bryce Harper","Max Kepler","Eddie Rosario"
