"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Chris Archer","Tommy Milone","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Trea Turner","Kyle Schwarber","Kevin Pillar","Denard Span"
"2","Jesse Chavez","Aaron Nola","Willson Contreras","Anthony Rizzo","Cesar Hernandez","Kris Bryant","Addison Russell","Kyle Schwarber","Michael Saunders","Kevin Pillar"
"3","Jesse Chavez","Aaron Nola","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Freddy Galvis","Mike Trout","Jason Heyward","Denard Span"
"4","Chris Archer","Adam Wainwright","Willson Contreras","Anthony Rizzo","Cesar Hernandez","Kris Bryant","Freddy Galvis","Kyle Schwarber","Odubel Herrera","Jason Heyward"
"5","Marco Estrada","Jesse Chavez","Willson Contreras","Anthony Rizzo","Adam Frazier","Kris Bryant","Trea Turner","Kyle Schwarber","Tommy Pham","Jason Heyward"
"6","Chris Archer","Jesse Chavez","Willson Contreras","Brock Stassi","Jason Kipnis","Kris Bryant","Addison Russell","Kyle Schwarber","Jason Heyward","Denard Span"
"7","Chris Archer","Tommy Milone","Salvador Perez","Anthony Rizzo","Adam Frazier","Kris Bryant","Addison Russell","Jose Bautista","Kyle Schwarber","Jason Heyward"
"8","Marco Estrada","Jesse Chavez","Salvador Perez","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Kyle Schwarber","Odubel Herrera","Denard Span"
"9","Chris Archer","Aaron Nola","Willson Contreras","Matt Carpenter","Ben Zobrist","Kris Bryant","Alcides Escobar","Kyle Schwarber","Tommy Pham","Jason Heyward"
"10","Chris Archer","Aaron Nola","Derek Norris","Anthony Rizzo","Ian Happ","Kris Bryant","Andrelton Simmons","Kyle Schwarber","Jason Heyward","Denard Span"
"11","Jesse Chavez","Adam Wainwright","Yadier Molina","Anthony Rizzo","Jonathan Villar","Kris Bryant","Addison Russell","Mike Trout","Kyle Schwarber","Jason Heyward"
"12","Aaron Nola","Adam Wainwright","Willson Contreras","Anthony Rizzo","Ian Happ","Kris Bryant","Aledmys Diaz","Mike Trout","Kyle Schwarber","Tommy Pham"
"13","Aaron Nola","Adam Wainwright","Salvador Perez","Anthony Rizzo","Ben Zobrist","Kris Bryant","Trea Turner","Billy Hamilton","Kyle Schwarber","Jason Heyward"
"14","Chris Archer","Jesse Chavez","Willson Contreras","Anthony Rizzo","Ben Zobrist","Greg Garcia","Addison Russell","Kyle Schwarber","Lorenzo Cain","Tommy Pham"
"15","Stephen Strasburg","Tommy Milone","Willson Contreras","Anthony Rizzo","Jason Kipnis","Kris Bryant","Addison Russell","Kyle Schwarber","Odubel Herrera","Tommy Pham"
"16","Marco Estrada","Aaron Nola","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Andrelton Simmons","Kyle Schwarber","Dexter Fowler","Lorenzo Cain"
"17","Chris Archer","Jesse Chavez","Willson Contreras","Anthony Rizzo","Ian Happ","Evan Longoria","Tim Beckham","Kyle Schwarber","Kevin Pillar","Jason Heyward"
"18","Marco Estrada","Adam Wainwright","Willson Contreras","Matt Carpenter","Ben Zobrist","Kris Bryant","Addison Russell","Mike Trout","Kyle Schwarber","Kevin Pillar"
"19","Chris Archer","Aaron Nola","Willson Contreras","Anthony Rizzo","Jonathan Villar","Mike Moustakas","Addison Russell","Kyle Schwarber","Jason Heyward","Kole Calhoun"
"20","Jesse Chavez","Tommy Milone","Willson Contreras","Anthony Rizzo","Ian Happ","Kris Bryant","Freddy Galvis","Charlie Blackmon","Jose Bautista","Kyle Schwarber"
"21","Chris Archer","Jesse Chavez","Chris Stewart","Anthony Rizzo","Ben Zobrist","Kris Bryant","Wilmer Difo","Kyle Schwarber","Michael Saunders","Jason Heyward"
"22","Chris Archer","Tommy Milone","Willson Contreras","Matt Carpenter","Ian Happ","Kris Bryant","Addison Russell","Billy Hamilton","Kyle Schwarber","Michael Saunders"
"23","Stephen Strasburg","Tommy Milone","Yadier Molina","Anthony Rizzo","Ben Zobrist","Kris Bryant","Freddy Galvis","Ryan Braun","Kyle Schwarber","Jason Heyward"
"24","Jesse Chavez","Adam Wainwright","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Tim Beckham","Ryan Braun","Michael Brantley","Kyle Schwarber"
"25","Chris Archer","Adam Wainwright","Derek Norris","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Kyle Schwarber","Josh Reddick","Kole Calhoun"
"26","Marco Estrada","Aaron Nola","Willson Contreras","Anthony Rizzo","Jose Peraza","Kris Bryant","Addison Russell","Billy Hamilton","Odubel Herrera","Jason Heyward"
"27","Stephen Strasburg","Aaron Nola","Willson Contreras","Brock Stassi","Ian Happ","Kris Bryant","Freddy Galvis","Kyle Schwarber","Kevin Pillar","Jason Heyward"
"28","Jesse Chavez","Aaron Nola","Salvador Perez","Matt Carpenter","Ian Happ","Kris Bryant","Addison Russell","Ryan Braun","Kyle Schwarber","Jason Heyward"
"29","Chris Archer","Tommy Milone","Willson Contreras","Anthony Rizzo","Ian Happ","Kris Bryant","Aledmys Diaz","Ryan Braun","Dexter Fowler","Jason Heyward"
"30","Chris Archer","Marco Estrada","Willson Contreras","Anthony Rizzo","Ben Zobrist","Evan Longoria","Addison Russell","Michael Saunders","Jason Heyward","Denard Span"
"31","Chris Archer","Aaron Nola","Martin Maldonado","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Kevin Pillar","Jason Heyward","Bradley Zimmer"
"32","Jesse Chavez","Tommy Milone","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Bryce Harper","Billy Hamilton","Adam Duvall"
"33","Marco Estrada","Aaron Nola","Willson Contreras","Eric Hosmer","Ian Happ","Kris Bryant","Addison Russell","Jose Bautista","Kyle Schwarber","Denard Span"
"34","Aaron Nola","Tommy Milone","Willson Contreras","Anthony Rizzo","Jonathan Schoop","Kris Bryant","Francisco Lindor","Bryce Harper","Kyle Schwarber","Jason Heyward"
"35","Stephen Strasburg","Jesse Chavez","Willson Contreras","Jefry Marte","Ben Zobrist","Kris Bryant","Andrelton Simmons","Kyle Schwarber","Odubel Herrera","Jason Heyward"
"36","Stephen Strasburg","Adam Wainwright","Willson Contreras","Anthony Rizzo","Adam Frazier","Kris Bryant","Addison Russell","Kevin Pillar","Keon Broxton","Jason Heyward"
"37","Chris Archer","Jaime Garcia","Willson Contreras","Anthony Rizzo","Ian Happ","Kris Bryant","Addison Russell","Carlos Gonzalez","Odubel Herrera","Denard Span"
"38","Jesse Chavez","Aaron Nola","Gary Sanchez","Anthony Rizzo","Ben Zobrist","Evan Longoria","Addison Russell","Jose Bautista","Kyle Schwarber","Jason Heyward"
"39","Stephen Strasburg","Aaron Nola","Willson Contreras","Anthony Rizzo","Ben Zobrist","Greg Garcia","Aledmys Diaz","Kyle Schwarber","Michael Saunders","Jason Heyward"
"40","Aaron Nola","Tommy Milone","Russell Martin","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Charlie Blackmon","Kyle Schwarber","Carlos Gonzalez"
"41","Chris Archer","Tommy Milone","Willson Contreras","Eric Thames","Ben Zobrist","Kris Bryant","Addison Russell","Charlie Blackmon","Odubel Herrera","Jason Heyward"
"42","Marco Estrada","Jesse Chavez","Willson Contreras","Anthony Rizzo","Ian Happ","Mike Moustakas","Addison Russell","Mike Trout","Kyle Schwarber","Jorge Bonifacio"
"43","Stephen Strasburg","Jaime Garcia","Willson Contreras","Anthony Rizzo","Jonathan Villar","Kris Bryant","Tim Beckham","Kyle Schwarber","Jason Heyward","Denard Span"
"44","Chris Archer","Jesse Chavez","Nick Hundley","Anthony Rizzo","Ian Happ","Kris Bryant","Addison Russell","Tommy Pham","Jason Heyward","Kole Calhoun"
"45","Chris Archer","Phil Hughes","Willson Contreras","Anthony Rizzo","Jonathan Schoop","Kris Bryant","Addison Russell","Kyle Schwarber","Dexter Fowler","Randal Grichuk"
"46","Chris Archer","Marco Estrada","Devin Mesoraco","Eric Hosmer","Ben Zobrist","Kris Bryant","Addison Russell","Kyle Schwarber","Jason Heyward","Jorge Bonifacio"
