"Justin Smoak_TOR","Dexter Fowler_STL","Ryan Braun_MIL","Freddie Freeman_ATL","Eric Thames_MIL","Josh Donaldson_TOR","Andrew McCutchen_PIT","Starling Marte_PIT","Jonathan Villar_MIL","Lorenzo Cain_KC","Yonder Alonso_OAK","Jose Abreu_CWS","Matt Carpenter_STL","Jedd Gyorko_STL","Keon Broxton_MIL","Kendrys Morales_TOR","Stephen Piscotty_STL","Adam Frazier_PIT","Matt Kemp_ATL","Travis Shaw_MIL","Mike Moustakas_KC","Khris Davis_OAK","Matt Davidson_CWS","Ryon Healy_OAK","Tommy Pham_STL","Ender Inciarte_ATL","Brett Phillips_MIL","Matt Adams_ATL","Hernan Perez_MIL","Steve Pearce_TOR","Eric Hosmer_KC","Devon Travis_TOR","Melky Cabrera_CWS","Josh Harrison_PIT","Josh Bell_PIT","Paul DeJong_STL","Brandon Phillips_ATL","Eric Sogard_MIL","Domingo Santana_MIL","Jose Bautista_TOR","Yadier Molina_STL","Salvador Perez_KC","Whit Merrifield_KC","Matt Joyce_OAK","Jed Lowrie_OAK","Todd Frazier_CWS","Avisail Garcia_CWS","Chad Pinder_OAK","Yoan Moncada_CWS","Lewis Brinson_MIL","Russell Martin_TOR","Rajai Davis_OAK","Jordy Mercer_PIT","Randal Grichuk_STL","Nick Markakis_ATL","Tyler Flowers_ATL","Ryan Cordell_MIL","Jorge Bonifacio_KC","Jorge Soler_KC","Tyler Saladino_CWS","Alen Hanson_CWS","Stephen Vogt_OAK","Yolmer Sanchez_CWS","Manny Pina_MIL","Orlando Arcia_MIL","Adonis Garcia_ATL","Kevin Pillar_TOR","Marcus Semien_OAK","Tim Anderson_CWS","Gregory Polanco_PIT","Nick Franklin_MIL","Jesus Aguilar_MIL","Dansby Swanson_ATL","Troy Tulowitzki_TOR","Ryan Goins_TOR","Harold Ramirez_TOR","Richard Urena_TOR","Leury Garcia_CWS","Mark Canha_OAK","Aledmys Diaz_STL","Paulo Orlando_KC","Billy Burns_KC","Dalton Pompey_TOR","Rowdy Tellez_TOR","Charlie Tilson_CWS","Joey Wendle_OAK","Jhonny Peralta_STL","John Jaso_PIT","David Freese_PIT","Kolten Wong_STL","Jacob Stallings_PIT","Jose Osuna_PIT","Kurt Suzuki_ATL","Danny Santana_ATL","Jace Peterson_ATL","Michael Reed_MIL","Johan Camargo_ATL","Dwight Smith_TOR","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Brandon Moss_KC","Jarrod Saltalamacchia_TOR","Ezequiel Carrera_TOR","Cheslor Cuthbert_KC","Jake Smolinski_OAK","Ryan LaMarre_OAK","Chad Huffman_STL","Jose Martinez_STL","Darrell Ceciliani_TOR","Ryan O'Hearn_KC","Jacob May_CWS","Kevan Smith_CWS","Bruce Maxwell_OAK","Adam Engel_CWS","Harrison Bader_STL","Micah Johnson_ATL","Rio Ruiz_ATL","Jacob Nottingham_MIL","Chris Coghlan_TOR","Terrance Gore_KC","Cody Asche_CWS","Willy Garcia_CWS","Matt Chapman_OAK","Danny Ortiz_PIT","Elias Diaz_PIT","Kevin Newman_PIT","Travis Demeritte_ATL","Corey Ray_MIL","Alcides Escobar_KC","Alex Gordon_KC","Geovany Soto_CWS","Josh Phegley_OAK","Jaycob Brugman_OAK","Francisco Cervelli_PIT","Darwin Barney_TOR","Anthony Alford_TOR","Magneuris Sierra_STL","Jett Bandy_MIL","Ronald Acuna_ATL","Raul Mondesi_KC","Omar Narvaez_CWS","Phil Gosselin_PIT","Greg Garcia_STL","Chris Bostick_PIT","Carson Kelly_STL","Eric Fryer_STL","Adam Rosales_OAK","Jaff Decker_OAK","Gift Ngoepe_PIT","Max Moroff_PIT","Anthony Recker_ATL","Drew Butera_KC","Luke Maile_TOR","Renato Nunez_OAK","Matt Olson_OAK","Zack Collins_CWS","Franklin Barreto_OAK","Chris Stewart_PIT","John Bormann_PIT","Emilio Bonifacio_ATL","Mike Ohlman_TOR","Ramon Torres_KC","Hunter Dozier_KC","Grant Green_CWS","Lane Adams_ATL"
59,0,0,0,0,26,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,38,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,32,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0
0,57,0,0,0,0,0,0,0,0,0,0,51,45,0,0,42,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,14,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,28,0,25,0,0,0,26,0,0,0,0,0,21,0,0,0,0,24,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,20,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,25,0,58,0,0,0,42,0,0,0,0,0,45,0,0,0,0,48,0,0,0,0,0,0,2,0,39,0,0,0,0,0,0,0,0,19,46,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,51,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,29,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,66,11,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,45,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,26,0,42,0,0,0,51,0,0,0,0,0,40,0,0,0,0,42,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,43,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,58,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,57,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0
