"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Week1","Week2","Week3","Week4","Week5","Week6","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs"
"WR","Antonio Brown (7609071)","Antonio Brown",7609071,9300,"NE@Pit 04:25PM ET","Pit","Antonio","Brown","NE",18.95,19.7,1,0.289473684210526,18.0991554848861,18.0271517680621,1,35.6,7.9,29,22.4,22.8,8.5,"Brown, Antonio",41,66,5,1,1
"WR","Julio Jones (7609060)","Julio Jones",7609060,9200,"SD@Atl 04:05PM ET","Atl","Julio","Jones","SD",23.71,25.6,1,0.241706161137441,23.2175363746382,23.0546235069678,1,16.6,24.6,2.6,51,4.9,29.9,"Jones, Julio",33,51,4,1,1
"WR","A.J. Green (7608994)","A.J. Green",7608994,8600,"Cle@Cin 01:00PM ET","Cin","A.J.","Green","Cle",20.3,23.1,1,0.293333333333333,20.5888677919616,20.3589453054544,1,39,5.8,15.7,36.3,9,14.8,"Green, A.J.",43,66,2,1,2
"RB","Le'Veon Bell (7608943)","Le'Veon Bell",7608943,8000,"NE@Pit 04:25PM ET","Pit","Le'Veon","Bell","NE",20.79,20.5,NA,NA,19.187517468715,19.1936821086187,1,NA,NA,NA,25.8,24.4,18.8,"Bell, Le'Veon",NA,NA,NA,NA,NA
"WR","Amari Cooper (7609021)","Amari Cooper",7609021,7900,"Oak@Jax 01:00PM ET","Oak","Amari","Cooper","Jax",18.22,16.1,1,0.286324786324786,15.693873889602,15.8420621590965,1,24.7,12.1,10.2,9.8,30.8,25.9,"Cooper, Amari",37,67,1,1,5
"QB","Tom Brady (7608846)","Tom Brady",7608846,7900,"NE@Pit 04:25PM ET","NE","Tom","Brady","Pit",25.77,22.3,NA,NA,21.9136262050232,22.1593037743113,0,NA,NA,NA,NA,32.6,30.2,"Brady, Tom",NA,NA,NA,NA,NA
"WR","Mike Evans (7609054)","Mike Evans",7609054,7800,"TB@SF 04:05PM ET","TB","Mike","Evans","SF",20.53,17.9,1,0.302884615384615,17.5385829734208,17.7240185551401,1,20.9,19,32.2,10.9,20.9,NA,"Evans, Mike",33,63,4,1,1
"WR","T.Y. Hilton (7608972)","T.Y. Hilton",7608972,7700,"Ind@Ten 01:00PM ET","Ind","T.Y.","Hilton","Ten",20.34,21.6,1,0.278688524590164,19.7002807528772,19.588177243156,1,13.9,8.1,34.4,17.2,36.1,7.9,"Hilton, T.Y.",39,68,3,1,1
"RB","LeSean McCoy (7608910)","LeSean McCoy",7608910,7600,"Buf@Mia 01:00PM ET","Buf","LeSean","McCoy","Mia",6.71,12.3,4,0.14792899408284,9.60974359098597,9.17679105758444,1,17,13,29.6,22.8,20.8,37.2,"McCoy, LeSean",21,25,1,3,3
"WR","Brandon Marshall (7609035)","Brandon Marshall",7609035,7600,"Bal@NYJ 01:00PM ET","NYJ","Brandon","Marshall","Bal",19.04,14.6,1,0.259911894273128,15.0627743894472,15.3878704677068,1,6.2,19.1,5.7,18.9,28.4,10,"Marshall, Brandon",28,59,2,2,1
