"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","RankTargets","RollingTargetPctg"
"WR","Julio Jones (0000000)","Julio Jones",0,9600,"GB@Atl 00:00PM ET","Atl","Julio","Jones","GB",25.56,22.1,42,65,4,1,1,1,0.264227642276423
"WR","A.J. Green (0000000)","A.J. Green",0,8800,"Was@Cin 00:00PM ET","Cin","A.J.","Green","Was",19.22,21.2,51,74,3,1,2,1,0.294820717131474
"WR","Mike Evans (0000000)","Mike Evans",0,8100,"Oak@TB 00:00PM ET","TB","Mike","Evans","Oak",22.76,23.1,41,75,6,1,1,1,0.320512820512821
"WR","T.Y. Hilton (0000000)","T.Y. Hilton",0,7900,"KC@Ind 00:00PM ET","Ind","T.Y.","Hilton","KC",19.28,21.6,47,84,5,1,1,1,0.291666666666667
"WR","Brandon Marshall (0000000)","Brandon Marshall",0,7800,"NYJ@Cle 00:00PM ET","NYJ","Brandon","Marshall","Cle",18.81,17,31,67,2,2,1,1,0.268
"RB","David Johnson (0000000)","David Johnson",0,7700,"Ari@Car 00:00PM ET","Ari","David","Johnson","Car",21.38,19.4,29,46,0,2,4,3,0.160839160839161
"QB","Tom Brady (0000000)","Tom Brady",0,7600,"NE@Buf 00:00PM ET","NE","Tom","Brady","Buf",25.73,20.5,NA,NA,NA,NA,NA,NA,NA
"WR","Amari Cooper (0000000)","Amari Cooper",0,7600,"Oak@TB 00:00PM ET","Oak","Amari","Cooper","TB",18.17,17.8,42,73,1,1,5,1,0.268382352941176
"WR","Larry Fitzgerald (0000000)","Larry Fitzgerald",0,7500,"Ari@Car 00:00PM ET","Ari","Larry","Fitzgerald","Car",18.82,18.4,48,73,6,1,1,1,0.255244755244755
"WR","Allen Robinson (0000000)","Allen Robinson",0,7500,"Jax@Ten 00:00PM ET","Jax","Allen","Robinson","Ten",17.3,16.4,26,59,3,2,1,1,0.241803278688525
"QB","Aaron Rodgers (0000000)","Aaron Rodgers",0,7500,"GB@Atl 00:00PM ET","GB","Aaron","Rodgers","Atl",21.74,20.4,NA,NA,NA,NA,NA,NA,NA
"WR","DeAndre Hopkins (0000000)","DeAndre Hopkins",0,7400,"Det@Hou 00:00PM ET","Hou","DeAndre","Hopkins","Det",17.08,16.6,36,68,3,1,1,1,0.255639097744361
"RB","DeMarco Murray (0000000)","DeMarco Murray",0,7400,"Jax@Ten 00:00PM ET","Ten","DeMarco","Murray","Jax",22.14,18.7,26,33,2,1,3,3,0.139830508474576
"QB","Cam Newton (0000000)","Cam Newton",0,7400,"Ari@Car 00:00PM ET","Car","Cam","Newton","Ari",20.57,18.8,NA,NA,NA,NA,NA,NA,NA
"RB","Christine Michael (0000000)","Christine Michael",0,7300,"Sea@NO 00:00PM ET","Sea","Christine","Michael","NO",19.98,14.7,18,24,1,4,2,5,0.112676056338028
"WR","Brandin Cooks (0000000)","Brandin Cooks",0,7300,"Sea@NO 00:00PM ET","NO","Brandin","Cooks","Sea",15.86,15.5,32,50,4,2,1,1,0.185873605947955
"WR","Kelvin Benjamin (0000000)","Kelvin Benjamin",0,7200,"Ari@Car 00:00PM ET","Car","Kelvin","Benjamin","Ari",16.66,13.3,29,51,4,2,1,2,0.216101694915254
"WR","Jordy Nelson (0000000)","Jordy Nelson",0,7200,"GB@Atl 00:00PM ET","GB","Jordy","Nelson","Atl",18.07,17.5,27,53,5,3,1,2,0.21031746031746
"RB","Ezekiel Elliott (0000000)","Ezekiel Elliott",0,7200,"Phi@Dal 00:00PM ET","Dal","Ezekiel","Elliott","Phi",17.35,15.8,11,15,0,4,5,6,0.0797872340425532
"QB","Russell Wilson (0000000)","Russell Wilson",0,7200,"Sea@NO 00:00PM ET","Sea","Russell","Wilson","NO",20.67,21,1,1,0,12,5,12,0.00469483568075117
"RB","LeSean McCoy (0000000)","LeSean McCoy",0,7100,"NE@Buf 00:00PM ET","Buf","LeSean","McCoy","NE",0,0,21,25,1,3,3,4,0.127551020408163
"WR","Dez Bryant (0000000)","Dez Bryant",0,7100,"Phi@Dal 00:00PM ET","Dal","Dez","Bryant","Phi",15.46,14.6,11,24,2,4,3,4,0.127659574468085
"TE","Rob Gronkowski (0000000)","Rob Gronkowski",0,7000,"NE@Buf 00:00PM ET","NE","Rob","Gronkowski","Buf",18.11,15.3,17,23,2,4,3,5,0.0991379310344828
"QB","Matt Ryan (0000000)","Matt Ryan",0,7000,"GB@Atl 00:00PM ET","Atl","Matt","Ryan","GB",19.5,22.5,NA,NA,NA,NA,NA,NA,NA
"WR","Doug Baldwin (0000000)","Doug Baldwin",0,6900,"Sea@NO 00:00PM ET","Sea","Doug","Baldwin","NO",19.46,16.7,36,49,2,1,1,1,0.230046948356808
"QB","Drew Brees (0000000)","Drew Brees",0,6900,"Sea@NO 00:00PM ET","NO","Drew","Brees","Sea",20.69,19.5,NA,NA,NA,NA,NA,NA,NA
"RB","Spencer Ware (0000000)","Spencer Ware",0,6800,"KC@Ind 00:00PM ET","KC","Spencer","Ware","Ind",20.24,18.3,16,21,1,4,3,4,0.0990566037735849
"QB","Andrew Luck (0000000)","Andrew Luck",0,6800,"KC@Ind 00:00PM ET","Ind","Andrew","Luck","KC",20.89,19.5,NA,NA,NA,NA,NA,NA,NA
"WR","Michael Crabtree (0000000)","Michael Crabtree",0,6700,"Oak@TB 00:00PM ET","Oak","Michael","Crabtree","TB",16.3,12.8,40,59,6,2,1,2,0.216911764705882
"WR","Marvin Jones (0000000)","Marvin Jones",0,6600,"Det@Hou 00:00PM ET","Det","Marvin","Jones","Hou",14.17,14.6,33,59,4,2,2,1,0.236947791164659
"WR","Emmanuel Sanders (0000000)","Emmanuel Sanders",0,6500,"SD@Den 00:00PM ET","Den","Emmanuel","Sanders","SD",16.02,16,40,66,3,1,2,1,0.277310924369748
