"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc"
"DST","Cardinals  (7499392)","Cardinals ",7499392,3900,"LA@Ari 04:25PM ET","Ari","Cardinals",NA,"LA",11.28,9.4,8.52
"DST","Seahawks  (7499380)","Seahawks ",7499380,3800,"Sea@NYJ 01:00PM ET","Sea","Seahawks",NA,"NYJ",10.13,8.7,7.57
"DST","Broncos  (7499389)","Broncos ",7499389,3700,"Den@TB 04:05PM ET","Den","Broncos",NA,"TB",9.96,9.5,10.09
"DST","Redskins  (7499378)","Redskins ",7499378,3500,"Cle@Was 01:00PM ET","Was","Redskins",NA,"Cle",9.48,7.8,8.94
"DST","Panthers  (7499384)","Panthers ",7499384,3400,"Car@Atl 01:00PM ET","Car","Panthers",NA,"Atl",8.54,10.1,7.36
"DST","Patriots  (7499382)","Patriots ",7499382,3300,"Buf@NE 01:00PM ET","NE","Patriots",NA,"Buf",9.07,8.4,7.92
"DST","Texans  (7499375)","Texans ",7499375,3200,"Ten@Hou 01:00PM ET","Hou","Texans",NA,"Ten",10.22,8.4,9.97
"DST","Lions  (7499388)","Lions ",7499388,3100,"Det@Chi 01:00PM ET","Det","Lions",NA,"Chi",8.23,7.7,8.59
"DST","Chiefs  (7499397)","Chiefs ",7499397,3000,"KC@Pit 08:30PM ET","KC","Chiefs",NA,"Pit",6.68,8.1,6.77
"DST","Cowboys  (7499395)","Cowboys ",7499395,2900,"Dal@SF 04:25PM ET","Dal","Cowboys",NA,"SF",8.15,5.6,6.34
"DST","Jets  (7499379)","Jets ",7499379,2800,"Sea@NYJ 01:00PM ET","NYJ","Jets",NA,"Sea",6.9,7.9,7.72
"DST","Steelers  (7499398)","Steelers ",7499398,2800,"KC@Pit 08:30PM ET","Pit","Steelers",NA,"KC",7.13,7.9,8.13
"DST","Raiders  (7499385)","Raiders ",7499385,2700,"Oak@Bal 01:00PM ET","Oak","Raiders",NA,"Bal",5.16,7.5,6.41
"DST","Rams  (7499391)","Rams ",7499391,2700,"LA@Ari 04:25PM ET","LA","Rams",NA,"Ari",5.15,6.6,7.28
"DST","Bills  (7499381)","Bills ",7499381,2600,"Buf@NE 01:00PM ET","Buf","Bills",NA,"NE",6.48,6.6,5.64
"DST","Buccaneers  (7499390)","Buccaneers ",7499390,2600,"Den@TB 04:05PM ET","TB","Buccaneers",NA,"Den",6.85,7,7.46
"DST","49ers  (7499396)","49ers ",7499396,2600,"Dal@SF 04:25PM ET","SF","49ers",NA,"Dal",7.28,4.6,6.72
"DST","Browns  (7499377)","Browns ",7499377,2500,"Cle@Was 01:00PM ET","Cle","Browns",NA,"Was",5.55,5.1,6.39
"DST","Bears  (7499387)","Bears ",7499387,2500,"Det@Chi 01:00PM ET","Chi","Bears",NA,"Det",6.72,5,6.54
"DST","Titans  (7499376)","Titans ",7499376,2400,"Ten@Hou 01:00PM ET","Ten","Titans",NA,"Hou",6.4,6.3,6.52
"DST","Falcons  (7499383)","Falcons ",7499383,2400,"Car@Atl 01:00PM ET","Atl","Falcons",NA,"Car",5.88,4.9,7.42
"DST","Ravens  (7499386)","Ravens ",7499386,2400,"Oak@Bal 01:00PM ET","Bal","Ravens",NA,"Oak",8.38,6.8,5.87
"DST","Chargers  (7499394)","Chargers ",7499394,2300,"NO@SD 04:25PM ET","SD","Chargers",NA,"NO",5.76,5.9,6.38
"DST","Saints  (7499393)","Saints ",7499393,2000,"NO@SD 04:25PM ET","NO","Saints",NA,"SD",4.4,5.8,7.38
