"Position","Name","Roster_Position","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Rich Hill","T1","LAD@DET 07:10PM ET",18.226,"LAD"
"1B/OF","Cody Bellinger","T3","LAD@DET 07:10PM ET",10.26,"LAD"
"3B","Justin Turner","T5","LAD@DET 07:10PM ET",9.426,"LAD"
"SS","Corey Seager","T5","LAD@DET 07:10PM ET",8.928,"LAD"
"2B/OF","Chris Taylor","T6","LAD@DET 07:10PM ET",9,"LAD"
"OF","Justin Upton","T8","LAD@DET 07:10PM ET",9.113,"DET"
"SP","Corey Kluber","T1","CLE@KC 08:15PM ET",29.763,"CLE"
"1B","Edwin Encarnacion","T4","CLE@KC 08:15PM ET",8.487,"CLE"
"1B","Carlos Santana","T6","CLE@KC 08:15PM ET",8.243,"CLE"
"2B/3B","Jose Ramirez","T8","CLE@KC 08:15PM ET",9.043,"CLE"
"SP","Ervin Santana","T2","ARI@MIN 08:10PM ET",18.581,"MIN"
"SP","Zack Godley","T2","ARI@MIN 08:10PM ET",18.8,"ARI"
"1B","Paul Goldschmidt","T3","ARI@MIN 08:10PM ET",10.958,"ARI"
"3B","Jake Lamb","T7","ARI@MIN 08:10PM ET",9.412,"ARI"
"OF","J.D. Martinez","T7","ARI@MIN 08:10PM ET",9.398,"ARI"
"2B","Brian Dozier","T8","ARI@MIN 08:10PM ET",8.902,"MIN"
"3B","Miguel Sano","T8","ARI@MIN 08:10PM ET",8.655,"MIN"
"SP","Jeremy Hellickson","T2","LAA@BAL 07:05PM ET",10.269,"BAL"
"OF","Mike Trout","T3","LAA@BAL 07:05PM ET",11.577,"LAA"
"3B","Manny Machado","T5","LAA@BAL 07:05PM ET",8.319,"BAL"
"OF","Aaron Judge","T3","NYY@BOS 07:10PM ET",10.552,"NYY"
"C","Gary Sanchez","T5","NYY@BOS 07:10PM ET",9.057,"NYY"
"OF","Andrew Benintendi","T6","NYY@BOS 07:10PM ET",8.514,"BOS"
"3B","Rafael Devers","T6","NYY@BOS 07:10PM ET",10.833,"BOS"
"OF","Mookie Betts","T7","NYY@BOS 07:10PM ET",9.443,"BOS"
"SP","Carlos Martinez","T1","STL@PIT 07:05PM ET",19.314,"STL"
"SP","Trevor Williams","T2","STL@PIT 07:05PM ET",10.185,"PIT"
"OF","Dexter Fowler","T5","STL@PIT 07:05PM ET",8.264,"STL"
"OF","Tommy Pham","T6","STL@PIT 07:05PM ET",9.348,"STL"
"OF","Nelson Cruz","T7","SEA@TB 07:10PM ET",8.864,"SEA"
"SS","Jean Segura","T8","SEA@TB 07:10PM ET",8.857,"SEA"
"SP","Andrew Cashner","T2","CWS@TEX 08:05PM ET",11.837,"TEX"
"SS","Elvis Andrus","T4","CWS@TEX 08:05PM ET",9.276,"TEX"
"3B","Adrian Beltre","T5","CWS@TEX 08:05PM ET",9.045,"TEX"
"1B/3B","Joey Gallo","T5","CWS@TEX 08:05PM ET",8.255,"TEX"
"OF","Nomar Mazara","T6","CWS@TEX 08:05PM ET",7.835,"TEX"
"1B","Jose Abreu","T8","CWS@TEX 08:05PM ET",8.709,"CWS"
"OF","Giancarlo Stanton","T3","MIA@NYM 07:10PM ET",10.667,"MIA"
"OF","Michael Conforto","T5","MIA@NYM 07:10PM ET",8.99,"NYM"
"OF","Yoenis Cespedes","T6","MIA@NYM 07:10PM ET",7.795,"NYM"
"OF","Marcell Ozuna","T8","MIA@NYM 07:10PM ET",8.983,"MIA"
"SP","Dallas Keuchel","T1","OAK@HOU 08:10PM ET",18.659,"HOU"
"2B","Jose Altuve","T3","OAK@HOU 08:10PM ET",10.581,"HOU"
"OF","George Springer","T4","OAK@HOU 08:10PM ET",10.327,"HOU"
"OF","Khris Davis","T8","OAK@HOU 08:10PM ET",8.907,"OAK"
"SP","German Marquez","T2","MIL@COL 08:40PM ET",15.43,"COL"
"OF","Charlie Blackmon","T3","MIL@COL 08:40PM ET",11.192,"COL"
"3B","Nolan Arenado","T3","MIL@COL 08:40PM ET",9.941,"COL"
"OF","Ryan Braun","T4","MIL@COL 08:40PM ET",8.97,"MIL"
"3B","Travis Shaw","T4","MIL@COL 08:40PM ET",9.551,"MIL"
"1B/OF","Eric Thames","T6","MIL@COL 08:40PM ET",8.374,"MIL"
"1B","Mark Reynolds","T7","MIL@COL 08:40PM ET",8.513,"COL"
"2B","DJ LeMahieu","T7","MIL@COL 08:40PM ET",7.466,"COL"
"SP","R.A. Dickey","T2","CIN@ATL 07:35PM ET",12.985,"ATL"
"1B","Joey Votto","T4","CIN@ATL 07:35PM ET",10.18,"CIN"
"SS","Zack Cozart","T7","CIN@ATL 07:35PM ET",9.033,"CIN"
"SP","Max Scherzer","T1","WAS@SD 10:10PM ET",28.615,"WAS"
"2B","Daniel Murphy","T4","WAS@SD 10:10PM ET",9.162,"WAS"
"3B","Anthony Rendon","T4","WAS@SD 10:10PM ET",9.063,"WAS"
"1B","Ryan Zimmerman","T7","WAS@SD 10:10PM ET",9.385,"WAS"
"RP","Chris Stratton","T2","PHI@SF 10:15PM ET",8.958,"SF"
