"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Chris Sale",13500,"TEX@BOS 07:10PM ET",32.15,"BOS","TEX",33.13,29.5,29.3925,NA,22.3
"SP","Luis Severino",9900,"KC@NYY 07:05PM ET",18.919,"NYY","KC",22.56,16.9,16.977,NA,33
"SP","Rich Hill",8900,"STL@LAD 10:10PM ET",13.283,"LAD","STL",17.29,18.4,17.367,NA,0.4
"SP","Charlie Morton",8600,"DET@HOU 08:10PM ET",17.467,"HOU","DET",18.46,18.4,16.078,NA,19.55
"SP","Kyle Hendricks",8500,"SF@CHC 08:05PM ET",13.617,"CHC","SF",18.74,16.9,17.046,NA,22.75
"SP","Julio Teheran",8200,"PIT@ATL 07:35PM ET",7.35,"ATL","PIT",19.16,14.5,16.8375,NA,21.9
"SP","Mike Leake",8100,"STL@LAD 10:10PM ET",19.275,"STL","LAD",16.46,13.8,14.453,NA,27.6
"SP","Tanner Roark",7800,"SEA@WAS 07:05PM ET",12.767,"WAS","SEA",18.11,13.6,14.3495,NA,28.95
"SP","Ricky Nolasco",7700,"LAA@TB 07:10PM ET",14.294,"LAA","TB",16.47,15.6,15.885,NA,10.1
"SP","Matt Moore",7600,"SF@CHC 08:05PM ET",11.6,"SF","CHC",15.29,17.2,14.555,NA,9.5
"SP","Jeremy Hellickson",7100,"COL@PHI 07:05PM ET",11.261,"PHI","COL",15.46,11.5,14.539,NA,-5.95
"SP","Tyler Chatwood",6900,"COL@PHI 07:05PM ET",12.583,"COL","PHI",16.08,15.9,13.71,NA,32.75
"SP","Jason Hammel",6600,"KC@NYY 07:05PM ET",7.138,"KC","NYY",12.89,11.9,12.98,NA,16.7
"SP","Daniel Norris",6400,"DET@HOU 08:10PM ET",11.394,"DET","HOU",12.8,11.4,10.685,NA,18.65
"SP","Robert Gsellman",6200,"SD@NYM 07:10PM ET",4.945,"NYM","SD",15.99,14.8,17.115,NA,9.3
"SP","Martin Perez",6000,"TEX@BOS 07:10PM ET",11.639,"TEX","BOS",9.02,9.8,8.457,NA,11.45
"SP","Erasmo Ramirez",5600,"LAA@TB 07:10PM ET",6.093,"TB","LAA",14.38,12,12.384,NA,14.5
"RP","Sam Gaviglio",4900,"SEA@WAS 07:05PM ET",10.775,"SEA","WAS",9.58,12.2,7.806,NA,NA
"RP","Trevor Williams",4800,"PIT@ATL 07:35PM ET",4.467,"PIT","ATL",13.82,10.4,10.252,NA,13.05
"SP","Jarred Cosart",4700,"SD@NYM 07:10PM ET",5.85,"SD","NYM",9.45,9.9,9.60299999999999,NA,-4.8
