"Bryce Harper_Was","Daniel Murphy_Was","Nolan Arenado_Col","Adam Eaton_Was","Charlie Blackmon_Col","Trea Turner_Was","Paul Goldschmidt_Ari","Ryan Zimmerman_Was","Anthony Rendon_Was","Trevor Story_Col","Wil Myers_SD","Carlos Gonzalez_Col","Jayson Werth_Was","Ian Desmond_Col","DJ LeMahieu_Col","David Dahl_Col","Michael Taylor_Was","Matt Wieters_Was","Adam Lind_Was","Mark Reynolds_Col","AJ Pollock_Ari","Jake Lamb_Ari","Yasmany Tomas_Ari","Gerardo Parra_Col","Ryan Schimpf_SD","Yangervis Solarte_SD","David Peralta_Ari","Stephen Drew_Was","Manuel Margot_SD","Wilmer Difo_Was","Stephen Cardullo_Col","Raimel Tapia_Col","Brandon Drury_Ari","Chris Owings_Ari","Alex Dickerson_SD","Hunter Renfroe_SD","Dustin Garneau_Col","Chris Heisey_Was","Cory Spangenberg_SD","Tom Murphy_Col","Jeremy Hazelbaker_Ari","Chris Herrmann_Ari","Travis Jankowski_SD","Jose Lobaton_Was","Socrates Brito_Ari","Pat Valaika_Col","Tony Wolters_Col","Christian Bethancourt_SD","Austin Hedges_SD","Cristhian Adames_Col","Chris Iannetta_Ari","Erick Aybar_SD","Alexi Amarista_Col","Daniel Descalso_Ari","Luis Sardinas_SD","Allen Cordoba_SD","Grant Green_Was","Nick Ahmed_Ari","Jabari Blash_SD","Hector Sanchez_SD","Jeff Mathis_Ari","Luis Torrens_SD"
14,13,0,13,0,5,0,12,12,0,0,0,10,0,0,0,3,12,2,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,0,13,0,6,0,12,12,0,0,0,11,0,0,0,3,11,2,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17,0,17,0,0,0,0,16,0,16,0,0,17,0,0,0,0,16,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,0,14,0,6,0,12,12,0,0,0,11,0,0,0,3,12,2,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17,0,17,0,0,0,0,16,0,16,0,0,17,0,0,0,0,16,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,0,6,0,6,0,6,5,0,0,0,5,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,15,0,0,0,16,0,0,0,0,0,16,15,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,7,0,0,10,0
12,12,0,12,0,6,0,13,11,0,0,0,10,0,0,0,4,11,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,0,12,0,5,0,11,13,0,0,0,9,0,0,0,4,10,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16,0,16,0,0,0,0,16,0,15,0,0,16,0,0,0,0,15,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,0,0,17,0,0,0,0,0,0,18,0,0,0,0,0,0,12,0,0,0,0,0,15,0,0,15,0,0,3,5,0,0,2,0,0,2
0,0,16,0,16,0,0,0,0,15,0,16,0,0,16,0,0,0,0,15,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
