"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30","2017-05-31","2017-06-01","2017-06-02","2017-06-03","2017-06-04","2017-06-05","2017-06-06","2017-06-07","2017-06-08","2017-06-09","2017-06-10","2017-06-11","2017-06-12","2017-06-13","2017-06-14","2017-06-15","2017-06-16","2017-06-17"
"Brian Dozier_MIN",NA,7,NA,NA,NA,2,8,5,NA,NA,14,13,15,NA,14,0,5,NA,NA,3,10,11,14,6,7,NA,0,NA,10,NA,28,13,4,0,NA,NA,NA,NA,NA,16,3,7,5,NA,14,NA,NA,3,NA,10,15,14,NA,NA,5,20,16,7,0,17,0,7,3,0,NA,16,9,3,10,16,16,15,23,0,NA,3,5
"Edwin Encarnacion_CLE",NA,NA,2,2,NA,5,0,8,NA,NA,2,4,10,7,8,5,24,NA,NA,2,19,2,NA,2,5,16,2,7,2,8,0,2,NA,19,NA,5,8,6,9,NA,2,0,2,4,19,2,NA,16,0,18,5,32,NA,NA,3,6,5,14,NA,3,NA,3,0,7,NA,NA,NA,NA,24,21,9,NA,2,7,NA,22,13
"Miguel Sano_MIN",NA,20,NA,NA,NA,7,2,21,NA,NA,2,26,4,11,0,5,14,NA,NA,6,5,7,0,24,9,NA,27,NA,28,NA,20,9,2,17,NA,2,NA,NA,NA,20,16,6,7,NA,0,NA,NA,6,NA,16,31,0,NA,NA,0,NA,NA,18,NA,NA,19,10,3,19,NA,10,20,5,0,0,7,0,NA,19,NA,5,3
"Eric Thames_MIL",NA,13,NA,17,NA,NA,5,9,NA,NA,5,23,21,32,18,26,17,8,21,0,6,5,36,18,11,NA,7,2,3,11,0,NA,7,0,NA,26,NA,19,17,NA,2,6,13,NA,NA,NA,NA,11,NA,2,NA,12,NA,0,2,0,NA,2,17,27,0,4,NA,16,0,5,NA,20,7,0,0,NA,NA,25,21,22,16
"Hernan Perez_MIL",NA,NA,NA,7,NA,3,NA,0,NA,3,NA,NA,NA,26,2,NA,NA,5,2,NA,NA,NA,32,38,7,NA,20,2,2,NA,3,NA,13,3,NA,0,NA,NA,10,0,22,7,16,15,5,3,NA,NA,NA,8,NA,5,NA,0,8,NA,2,NA,8,7,13,0,14,NA,7,14,5,NA,23,16,8,NA,6,5,8,NA,3
"Jose Ramirez_CLE",NA,NA,2,7,NA,0,NA,NA,NA,NA,2,13,8,46,9,6,21,NA,NA,0,19,3,NA,8,9,9,14,11,7,0,9,18,NA,2,NA,0,3,7,7,NA,0,0,5,13,3,3,NA,13,0,NA,5,0,NA,NA,14,3,20,27,NA,2,2,0,13,6,NA,5,14,NA,10,2,2,NA,0,19,NA,19,37
"Ryan Braun_MIL",NA,2,19,9,NA,7,NA,18,NA,10,0,18,16,8,18,33,10,NA,2,17,2,10,9,0,14,NA,22,2,2,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keon Broxton_MIL",NA,7,2,NA,NA,NA,NA,0,NA,24,7,3,4,0,NA,0,0,0,NA,12,8,10,0,23,NA,NA,9,NA,8,3,NA,NA,27,5,NA,12,NA,42,12,5,5,15,16,0,5,3,NA,5,NA,10,NA,NA,NA,3,2,0,14,2,6,16,NA,5,7,0,NA,6,0,0,NA,NA,14,NA,28,4,16,18,16
"Travis Shaw_MIL",NA,12,16,16,NA,7,9,0,NA,12,0,0,7,NA,14,0,35,16,21,3,7,2,NA,9,13,NA,0,2,NA,21,3,NA,19,0,NA,14,NA,9,17,5,3,28,5,NA,NA,12,NA,7,NA,19,NA,0,NA,NA,6,9,10,5,10,17,2,NA,33,2,NA,NA,9,21,NA,NA,NA,NA,21,8,13,18,0
"Yangervis Solarte_SD",NA,5,19,0,NA,NA,2,20,2,2,12,NA,2,0,0,5,0,2,7,12,11,9,11,11,14,10,6,6,3,NA,16,5,6,7,NA,NA,3,0,0,3,6,0,4,NA,5,7,NA,0,0,NA,NA,8,16,11,4,3,3,8,10,5,NA,22,0,0,NA,0,19,5,11,10,4,19,10,NA,NA,14,32
