"Anthony Rizzo_CHC","Kris Bryant_CHC","Joey Votto_CIN","Kyle Schwarber_CHC","Aaron Judge_NYY","Gary Sanchez_NYY","Billy Hamilton_CIN","Hunter Pence_SF","Adam Duvall_CIN","Buster Posey_SF","Ben Zobrist_CHC","Brandon Belt_SF","Denard Span_SF","Matt Holliday_NYY","Joe Panik_SF","Brett Gardner_NYY","Eduardo Nunez_SF","Brandon Crawford_SF","Starlin Castro_NYY","Addison Russell_CHC","Jacoby Ellsbury_NYY","Scott Schebler_CIN","Christian Arroyo_SF","Chris Carter_NYY","Javier Baez_CHC","Jason Heyward_CHC","Eugenio Suarez_CIN","Jarrett Parker_SF","Willson Contreras_CHC","Chase Headley_NYY","Zack Cozart_CIN","Aaron Hicks_NYY","Didi Gregorius_NYY","Scooter Gennett_CIN","Jose Peraza_CIN","Nick Hundley_SF","Arismendy Alcantara_CIN","Gorkys Hernandez_SF","Miguel Montero_CHC","Kelby Tomlinson_SF","Greg Bird_NYY","Albert Almora_CHC","Jon Jay_CHC","Mac Williamson_SF","Conor Gillaspie_SF","Matt Szczur_CHC","Ian Happ_CHC","Jesse Winker_CIN","Drew Stubbs_SF","Devin Mesoraco_CIN","Aaron Hill_SF","Tommy La Stella_CHC","Michael Morse_SF","Tucker Barnhart_CIN","Gleyber Torres_NYY","Kyle Higashioka_NYY","Phillip Ervin_CIN","Tim Federowicz_SF","Austin Romine_NYY","Patrick Kivlehan_CIN","Ronald Torreyes_NYY","Rob Refsnyder_NYY","Chris Marrero_SF","Eloy Jimenez_CHC","Stuart Turner_CIN"
26,26,0,24,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,24,0,0,0,0,19,23,0,0,18,0,0,0,0,0,0,0,0,0,8,0,0,12,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,0,24,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,24,0,0,0,0,19,23,0,0,18,0,0,0,0,0,0,0,0,0,8,0,0,12,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,24,0,0,0,23,0,0,10,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,0,0,0,0,0,3,0,0,0,0,4
24,24,0,24,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,22,0,0,0,0,17,23,0,0,17,0,0,0,0,0,0,0,0,0,7,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,24,4,0,0,0,0,0,0,0,20,0,19,0,0,24,0,20,0,0,8,0,0,0,0,0,22,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,18,0,0,0,0
0,0,0,0,4,5,0,0,0,0,0,0,0,5,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
0,0,25,0,0,0,25,0,23,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,22,0,0,0,21,0,0,8,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,18,0,0,0,0,0,2,0,0,0,0,4
0,0,0,0,0,0,0,26,0,19,0,23,11,0,23,0,24,17,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,12,0,12,0,2,0,0,0,0,4,0,0,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,8,0,0
0,0,25,0,0,0,23,0,25,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,22,0,0,0,22,0,0,8,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,18,0,0,0,0,0,2,0,0,0,0,4
0,0,0,0,0,0,0,19,0,21,0,19,7,0,18,0,21,14,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,6,0,12,0,2,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,0
19,19,0,19,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,17,0,0,0,0,12,18,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,23,0,19,0,25,11,0,22,0,23,16,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,10,0,12,0,2,0,0,0,0,4,0,0,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,9,0,0
0,0,0,0,0,0,0,11,0,7,0,11,12,0,11,0,11,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,0,0,0,20,5,0,0,0,0,0,0,0,21,0,17,0,0,21,0,17,0,0,9,0,0,0,0,0,19,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,15,0,0,0,0
