"Unique.ID","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15","Week16","Week17","FullName","Team","Pos","mean"
"Antonio Brown@PIT@WR",35.6,7.9,29,22.4,22.8,8.5,21.9,NA,21.5,37.4,15.6,32.1,17.4,12.8,8.8,25.6,NA,"Antonio Brown","PIT","WR",21.2866666666667
"Julio Jones@ATL@WR",16.6,24.6,2.6,51,4.9,29.9,29.4,5.9,28.1,26.5,NA,7.5,21.3,NA,NA,10,22.6,"Julio Jones","ATL","WR",20.0642857142857
"Odell Beckham@NYG@WR",11.3,16.6,22.1,5.3,16.6,44.2,9.9,NA,20.6,25.7,9.6,27.6,23,19.4,19.3,29,NA,"Odell Beckham","NYG","WR",20.0133333333333
"DeAndre Hopkins@HOU@WR",16.4,27.3,9.6,1.4,16.6,16.1,8.6,8.4,NA,9.8,10.8,12,14.8,5.3,16.7,7.3,22.3,"DeAndre Hopkins","HOU","WR",12.7125
"Dez Bryant@DAL@WR",1.8,20.2,13,NA,NA,NA,NA,24.3,2.9,26.6,26,12.2,18.4,1,16.2,27.4,NA,"Dez Bryant","DAL","WR",15.8333333333333
"Aaron Rodgers@GB@QB",23.6,19.4,26.4,NA,17.9,14.5,27.7,33.8,27.2,32.5,32.3,26.1,17,21.2,12,40.2,37.2,"Aaron Rodgers","GB","QB",25.5625
"A.J. Green@CIN@WR",39,5.8,15.7,36.3,9,14.8,33.9,24.1,NA,19.8,NA,NA,NA,NA,NA,NA,NA,"A.J. Green","CIN","WR",22.0444444444444
"Allen Robinson@JAX@WR",13.2,8.4,24.7,16.5,NA,7.9,2.9,13,20.6,30.7,10.8,4.4,6.1,2.7,3.5,26.7,13.2,"Allen Robinson","JAX","WR",12.83125
"Andrew Luck@IND@QB",38.5,12.1,18.2,18.7,25.2,24.4,30.8,20.4,14.7,NA,19.7,NA,29.7,19.2,18.8,26.7,23.5,"Andrew Luck","IND","QB",22.7066666666667
"Drew Brees@NO@QB",35.4,14.5,29.9,13.9,NA,36.6,28.7,20.7,27.7,26,17.4,36.5,13,7.5,33.4,16.1,24,"Drew Brees","NO","QB",23.83125
"Keenan Allen@SD@WR",12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Keenan Allen","SD","WR",12.3
"Russell Wilson@SEA@QB",13.9,11.6,14,26.9,NA,11.5,9.7,10.2,26.3,29.5,25.3,12,17,10.5,21.4,37.6,14.7,"Russell Wilson","SEA","QB",18.25625
"Alshon Jeffery@CHI@WR",17.5,14.6,12,7.6,12.7,16.3,6.3,16.3,NA,8.7,NA,NA,NA,NA,20.9,14.2,2,"Alshon Jeffery","CHI","WR",12.425
"Todd Gurley@LA@RB",5.2,8,21,13.2,18.8,13.7,15.2,NA,11.4,8.2,13.6,12.9,6.7,17.3,4.6,17.7,11.7,"Todd Gurley","LA","RB",12.45
"Ben Roethlisberger@PIT@QB",25.8,21.8,9,36.9,33.2,11.6,NA,NA,19.9,31.4,8.7,20.8,18.6,5.6,14.9,21.1,NA,"Ben Roethlisberger","PIT","QB",19.95
"Brandon Marshall@NYJ@WR",6.2,19.1,5.7,18.9,28.4,10,6.9,10.8,10.5,5.5,NA,18.7,8.3,6.3,2.6,4.8,NA,"Brandon Marshall","NYJ","WR",10.8466666666667
"Brandin Cooks@NO@WR",36.4,13.8,3.9,6.1,NA,33.5,18.8,14.4,11.6,18.8,11.9,0,14.7,11.1,40.6,14.8,4.9,"Brandin Cooks","NO","WR",15.95625
"Cam Newton@CAR@QB",22.2,34.8,16.1,15.6,NA,31,NA,12.8,14.6,24.8,12.4,22.4,12.5,12.5,23,13.5,11.1,"Cam Newton","CAR","QB",18.62
"Jordy Nelson@GB@WR",15.2,18.3,31.1,NA,13.8,10.8,1.9,19.4,22.4,33.6,11.8,17.1,28.8,22.1,22.4,39.4,12.6,"Jordy Nelson","GB","WR",20.04375
"Randall Cobb@GB@WR",12.8,9.3,4.3,NA,22.8,18.3,28.6,NA,9.4,7.1,11.4,10.1,10.9,6.3,NA,NA,NA,"Randall Cobb","GB","WR",12.6083333333333
"Adrian Peterson@MIN@RB",3.1,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,"Adrian Peterson","MIN","RB",3.33333333333333
"David Johnson@ARI@RB",23.2,17.3,26.1,15.4,36.5,37.8,28.1,17.8,NA,27.1,38,33.1,38.5,18.1,26.8,34.6,7.4,"David Johnson","ARI","RB",26.6125
"Eli Manning@NYG@QB",19.3,16.3,19,9.4,11.1,29.1,7.6,NA,23.9,20,17.2,19.6,13.7,8.5,16,18.2,7.2,"Eli Manning","NYG","QB",16.00625
"T.Y. Hilton@IND@WR",13.9,8.1,34.4,17.2,36.1,7.9,29.3,3,14.2,NA,20.7,8.4,26.6,29.5,7.5,19.5,15.5,"T.Y. Hilton","IND","WR",18.2375
"Le'Veon Bell@PIT@RB",NA,NA,NA,25.8,24.4,18.8,24.9,NA,13,34.4,37.1,27.2,26.2,54.8,18.1,31.7,NA,"Le'Veon Bell","PIT","RB",28.0333333333333
"Tom Brady@NE@QB",NA,NA,NA,NA,32.6,30.2,18.2,33.1,NA,15.3,28.4,19,14.9,30.1,7.4,20.6,25.6,"Tom Brady","NE","QB",22.95
"Mike Evans@TB@WR",20.9,19,32.2,10.9,20.9,NA,29.6,11,41,10.6,19.5,33.4,8.8,8.2,9.9,22.7,17.5,"Mike Evans","TB","WR",19.75625
"Rob Gronkowski@NE@TE",NA,NA,NA,2.1,18.9,32.2,19.3,24.9,NA,8.6,NA,NA,NA,NA,NA,NA,NA,"Rob Gronkowski","NE","TE",17.6666666666667
"Kirk Cousins@WAS@QB",15,22.6,19.3,18.3,13.3,18.3,25.9,28.2,NA,18.4,30.4,33.2,18.8,17,14.7,29.8,13.5,"Kirk Cousins","WAS","QB",21.04375
"Golden Tate@DET@WR",11.3,3.3,7.2,3.1,7.5,33.8,15.3,11.2,25,NA,4.1,12.7,31.5,11.7,23.2,11.8,20.4,"Golden Tate","DET","WR",14.56875
"Derek Carr@OAK@QB",25.4,25,12.9,23.8,26,11.8,12.4,39.8,7.7,NA,22.6,22.3,20.8,5,12,21.9,NA,"Derek Carr","OAK","QB",19.2933333333333
"Ezekiel Elliott@DAL@RB",12.2,15.7,21,25.7,35.1,22.4,NA,18.8,22.7,43.9,16.7,26,20.5,13.7,30.8,22.2,NA,"Ezekiel Elliott","DAL","RB",23.16
"Amari Cooper@OAK@WR",24.7,12.1,10.2,9.8,30.8,25.9,6.9,38.3,11.6,NA,15.7,6.2,13.9,7.9,3.8,11.2,13.9,"Amari Cooper","OAK","WR",15.18125
"Blake Bortles@JAX@QB",19,24.6,14.5,25.9,NA,12.9,15.1,32.7,22.5,19.7,14.4,21.1,13.1,15.6,8.2,29.7,19.1,"Blake Bortles","JAX","QB",19.25625
"Matthew Stafford@DET@QB",29.1,16.5,30.5,10.2,19.8,28.2,17.8,13.6,15.8,NA,11.1,16.3,26.8,18.4,11.2,14.5,23.9,"Matthew Stafford","DET","QB",18.98125
"Carson Palmer@ARI@QB",18.9,27.3,7.5,13.5,NA,12.4,17.5,27.5,NA,20.6,15,18.6,26.9,13.3,23.7,15.3,21.2,"Carson Palmer","ARI","QB",18.6133333333333
"Jamaal Charles@KC@RB",NA,NA,NA,0.7,NA,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jamaal Charles","KC","RB",6.7
"Matt Ryan@ATL@QB",27.4,31.8,19.9,39.5,15,26.6,14.7,24.4,31.8,13.7,NA,19.3,17.2,21.5,19.3,20,32.4,"Matt Ryan","ATL","QB",23.40625
"DeAngelo Williams@PIT@RB",38.1,23.2,8.4,7.9,NA,1,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,24.4,"DeAngelo Williams","PIT","RB",14.7285714285714
"Lamar Miller@HOU@RB",18.7,11.7,14.7,13.8,3.4,35.8,9.7,14.3,NA,8.3,22.3,9.5,2.8,22.2,16.9,NA,NA,"Lamar Miller","HOU","RB",14.5785714285714
"Philip Rivers@SD@QB",14.6,24.8,15.4,22.8,31.4,11.1,19.6,15.7,18.7,24,NA,20.7,16.8,12.4,15.2,22.9,16.9,"Philip Rivers","SD","QB",18.9375
