"Aaron Judge_NYY","George Springer_HOU","Gary Sanchez_NYY","Carlos Correa_HOU","Jose Altuve_HOU","Brett Gardner_NYY","Josh Reddick_HOU","Khris Davis_OAK","Carlos Beltran_HOU","Matt Holliday_NYY","Chris Carter_NYY","Brian McCann_HOU","Matt Joyce_OAK","Marwin Gonzalez_HOU","Evan Gattis_HOU","Aaron Hicks_NYY","Jose Abreu_CWS","Matt Davidson_CWS","Yonder Alonso_OAK","Yuli Gurriel_HOU","Alex Bregman_HOU","Jacoby Ellsbury_NYY","Todd Frazier_CWS","Starlin Castro_NYY","Didi Gregorius_NYY","Avisail Garcia_CWS","Chad Pinder_OAK","Ryon Healy_OAK","Melky Cabrera_CWS","Tyler Saladino_CWS","Alen Hanson_CWS","Jed Lowrie_OAK","Marcus Semien_OAK","Derek Fisher_HOU","Chase Headley_NYY","Yolmer Sanchez_CWS","Greg Bird_NYY","Yoan Moncada_CWS","Jake Marisnick_HOU","Mason Williams_NYY","Leury Garcia_CWS","Rob Refsnyder_NYY","Mark Canha_OAK","Tyler Austin_NYY","Charlie Tilson_CWS","Adam Engel_CWS","Rajai Davis_OAK","Adam Rosales_OAK","JD Davis_HOU","Joey Wendle_OAK","Norichika Aoki_HOU","Matt Chapman_OAK","Jake Smolinski_OAK","Ryan LaMarre_OAK","Jaycob Brugman_OAK","Ronald Torreyes_NYY","Jacob May_CWS","Jorge Mateo_NYY","Miguel Andujar_NYY","Tim Anderson_CWS","Tyler Wade_NYY","Gleyber Torres_NYY","Josh Phegley_OAK","Bruce Maxwell_OAK","Austin Romine_NYY","Cody Asche_CWS","Willy Garcia_CWS","Geovany Soto_CWS","Kevan Smith_CWS","Kyle Tucker_HOU","Kyle Higashioka_NYY","Omar Narvaez_CWS","Juan Centeno_HOU","Renato Nunez_OAK","Matt Olson_OAK","Tony Kemp_HOU","Franklin Barreto_OAK","Jaff Decker_OAK","Grant Green_CWS","Zack Collins_CWS","Teoscar Hernandez_HOU","Colin Moran_HOU"
69,0,40,0,0,59,0,0,0,59,41,0,0,0,0,46,0,0,0,0,0,32,0,68,47,0,0,0,0,0,0,0,0,0,58,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,30,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,66,0,59,65,0,47,0,54,0,0,39,0,40,38,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
40,0,42,0,0,40,0,0,0,37,28,0,0,0,0,32,0,0,0,0,0,16,0,40,36,0,0,0,0,0,0,0,0,0,35,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,59,0,66,63,0,48,0,54,0,0,44,0,38,37,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,65,0,63,70,0,51,0,57,0,0,44,0,42,39,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
59,0,40,0,0,62,0,0,0,52,36,0,0,0,0,40,0,0,0,0,0,27,0,60,44,0,0,0,0,0,0,0,0,0,52,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,23,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,47,0,48,51,0,54,0,45,0,0,36,0,30,27,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,66,0,0,0,0,49,0,0,0,0,0,53,0,0,0,0,0,0,0,35,63,0,0,0,60,9,0,0,0,0,0,0,0,0,0,19,0,0,0,40,45,0,0,0,2,0,2,13,0,0,0,0,0,0,0,25,8,0,0,0,0,0,0,0,0,0,0,5,0,2,12,0,0,0,0
0,54,0,54,57,0,45,0,59,0,0,36,0,35,28,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,37,0,0,52,0,0,0,61,38,0,0,0,0,43,0,0,0,0,0,28,0,60,43,0,0,0,0,0,0,0,0,0,51,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
