"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Clayton Kershaw","Amir Garrett","Willson Contreras","Anthony Rizzo","Cesar Hernandez","Maikel Franco","Asdrubal Cabrera","Kyle Schwarber","Jason Heyward","Michael Conforto"
"2","Clayton Kershaw","Amir Garrett","Cameron Rupp","Anthony Rizzo","Ben Zobrist","Mike Moustakas","Asdrubal Cabrera","Kyle Schwarber","Jason Heyward","Josh Reddick"
"3","Clayton Kershaw","Amir Garrett","Cameron Rupp","Anthony Rizzo","Cesar Hernandez","Kris Bryant","Adeiny Hechavarria","Kyle Schwarber","Jason Heyward","Aaron Altherr"
"4","Clayton Kershaw","Amir Garrett","Willson Contreras","Tommy Joseph","Ben Zobrist","Kris Bryant","Asdrubal Cabrera","Kyle Schwarber","Josh Reddick","Michael Conforto"
"5","Clayton Kershaw","Amir Garrett","Brian McCann","Anthony Rizzo","Cesar Hernandez","Maikel Franco","Freddy Galvis","Kyle Schwarber","Josh Reddick","Aaron Altherr"
"6","Clayton Kershaw","Amir Garrett","Roberto Perez","Anthony Rizzo","Ben Zobrist","Kris Bryant","Tim Beckham","Kyle Schwarber","Jason Heyward","Michael Conforto"
"7","Clayton Kershaw","Amir Garrett","Willson Contreras","Rickie Weeks","Cesar Hernandez","Kris Bryant","Francisco Lindor","Kyle Schwarber","Jason Heyward","Josh Reddick"
"8","Clayton Kershaw","Luis Severino","Cameron Rupp","Jay Bruce","Cesar Hernandez","Maikel Franco","Jordy Mercer","Kyle Schwarber","Aaron Altherr","Michael Conforto"
"9","Clayton Kershaw","Amir Garrett","Cameron Rupp","Anthony Rizzo","Javier Baez","Kris Bryant","Asdrubal Cabrera","Kyle Schwarber","Michael Conforto","Andrew Toles"
"10","Clayton Kershaw","Amir Garrett","Willson Contreras","Anthony Rizzo","Ben Zobrist","Mike Moustakas","Tim Anderson","Kyle Schwarber","Aaron Altherr","Michael Conforto"
"11","Clayton Kershaw","Amir Garrett","Willson Contreras","Anthony Rizzo","Cesar Hernandez","Kris Bryant","Tim Beckham","Kyle Schwarber","Seth Smith","Andrew Toles"
"12","Clayton Kershaw","Amir Garrett","Derek Norris","Anthony Rizzo","Cesar Hernandez","Kris Bryant","Asdrubal Cabrera","Kyle Schwarber","Josh Reddick","Jon Jay"
"13","Clayton Kershaw","Luis Severino","Willson Contreras","Rickie Weeks","Ben Zobrist","Mike Moustakas","Jordy Mercer","Kyle Schwarber","Jason Heyward","Michael Conforto"
"14","Clayton Kershaw","Amir Garrett","Brian McCann","Jay Bruce","Ben Zobrist","Kris Bryant","Asdrubal Cabrera","Kyle Schwarber","Jason Heyward","Aaron Altherr"
"15","Clayton Kershaw","Amir Garrett","Willson Contreras","Anthony Rizzo","Ben Zobrist","Maikel Franco","Adeiny Hechavarria","Kyle Schwarber","Josh Reddick","Seth Smith"
"16","Clayton Kershaw","Amir Garrett","Cameron Rupp","Tommy Joseph","Cesar Hernandez","Maikel Franco","Carlos Correa","Kyle Schwarber","Jason Heyward","Josh Reddick"
"17","Clayton Kershaw","Amir Garrett","Salvador Perez","Anthony Rizzo","Javier Baez","Maikel Franco","Tim Beckham","Kyle Schwarber","Jason Heyward","Josh Reddick"
