"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"35","Clayton Kershaw","Amir Garrett","Jonathan Lucroy","Anthony Rizzo","Rougned Odor","Maikel Franco","Asdrubal Cabrera","Shin-Soo Choo","Carlos Gomez","Delino DeShields"
"36","Clayton Kershaw","Luis Severino","Roberto Perez","Mike Napoli","Rougned Odor","Joey Gallo","Elvis Andrus","Kyle Schwarber","Nomar Mazara","Michael Conforto"
"37","Clayton Kershaw","Amir Garrett","Omar Narvaez","Anthony Rizzo","Tyler Saladino","Kris Bryant","Tim Anderson","Kyle Schwarber","Melky Cabrera","Jacob May"
"38","Clayton Kershaw","Amir Garrett","Caleb Joseph","Anthony Rizzo","Cesar Hernandez","Manny Machado","Adeiny Hechavarria","Mark Trumbo","Adam Jones","Seth Smith"
"39","Clayton Kershaw","Dylan Bundy","Brian McCann","Yuli Gurriel","Jose Altuve","Chris Coghlan","Carlos Correa","Carlos Beltran","Jason Heyward","Andrew Toles"
"40","Jason Vargas","Michael Wacha","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Carlos Correa","Andrew McCutchen","Giancarlo Stanton","Jason Heyward"
"41","Clayton Kershaw","Amir Garrett","Brian McCann","Mike Napoli","Rougned Odor","Joey Gallo","Carlos Correa","Kyle Schwarber","Shin-Soo Choo","Carlos Gomez"
"42","Clayton Kershaw","Gerrit Cole","Brian McCann","Eric Hosmer","Christian Colon","Mike Moustakas","Alcides Escobar","Lorenzo Cain","Aaron Altherr","Michael Conforto"
"43","Clayton Kershaw","Luis Severino","Derek Norris","Justin Bour","Cesar Hernandez","Martin Prado","Jordy Mercer","Giancarlo Stanton","Christian Yelich","Marcell Ozuna"
"44","Clayton Kershaw","Luis Severino","Salvador Perez","Mike Napoli","Rougned Odor","Mike Moustakas","Jordy Mercer","Shin-Soo Choo","Carlos Gomez","Delino DeShields"
"45","Julio Teheran","Michael Wacha","Derek Norris","Anthony Rizzo","Ben Zobrist","Kris Bryant","Xander Bogaerts","George Springer","Kyle Schwarber","Jason Heyward"
"46","Clayton Kershaw","Luis Severino","Roberto Perez","Rickie Weeks","Josh Harrison","Mike Moustakas","Jordy Mercer","Andrew McCutchen","Gregory Polanco","Jose Osuna"
"47","Gerrit Cole","Luis Severino","Sandy Leon","Anthony Rizzo","Marco Hernandez","Kris Bryant","Xander Bogaerts","Mookie Betts","Kyle Schwarber","Andrew Benintendi"
"48","Clayton Kershaw","Amir Garrett","Willson Contreras","Edwin Encarnacion","Jose Ramirez","Maikel Franco","Francisco Lindor","Michael Brantley","Josh Reddick","Brandon Guyer"
"49","Clayton Kershaw","Gerrit Cole","Willson Contreras","Jay Bruce","Neil Walker","Jose Reyes","Asdrubal Cabrera","Jason Heyward","Seth Smith","Curtis Granderson"
"50","Clayton Kershaw","Amir Garrett","Luke Maile","Anthony Rizzo","Ben Zobrist","Chris Coghlan","Carlos Correa","Jose Bautista","Kevin Pillar","Ezequiel Carrera"
