"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18"
"Mike Trout_LAA",NA,NA,10,10,NA,7,16,6,NA,16,14,13,5,12,0,13,11
"Jose Altuve_HOU",NA,NA,3,0,3,0,3,13,4,17,19,NA,26,19,NA,9,6
"Carlos Correa_HOU",NA,NA,2,6,2,5,4,8,9,0,10,NA,4,4,NA,NA,NA
"George Springer_HOU",NA,NA,5,27,16,2,2,19,0,17,5,NA,3,22,NA,5,17
"Brian Dozier_MIN",NA,7,NA,NA,NA,2,8,5,NA,NA,14,13,15,NA,14,0,5
"Francisco Lindor_CLE",NA,NA,2,46,NA,14,10,3,NA,NA,10,7,9,13,6,7,17
"Michael Brantley_CLE",NA,NA,8,NA,NA,7,5,NA,NA,NA,2,19,NA,7,13,18,16
"Carlos Santana_CLE",NA,NA,21,11,NA,7,7,0,NA,NA,5,0,2,28,0,5,10
"Edwin Encarnacion_CLE",NA,NA,2,2,NA,5,0,8,NA,NA,2,4,10,7,8,5,24
"Jason Kipnis_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hunter Pence_SF",5,NA,11,15,4,NA,0,16,10,14,5,5,15,0,2,NA,10
"Jose Ramirez_CLE",NA,NA,2,7,NA,0,NA,NA,NA,NA,2,13,8,46,9,6,21
"Miguel Sano_MIN",NA,20,NA,NA,NA,7,2,21,NA,NA,2,26,4,11,0,5,14
"Alex Bregman_HOU",NA,NA,0,7,NA,5,3,0,3,8,12,NA,8,16,NA,8,0
"Buster Posey_SF",2,NA,4,10,12,NA,5,21,2,NA,NA,NA,NA,NA,NA,NA,9
"Evan Gattis_HOU",NA,NA,2,14,NA,3,NA,16,0,NA,NA,NA,NA,0,NA,5,NA
"Brandon Belt_SF",4,NA,10,24,9,NA,5,6,4,0,6,3,5,NA,10,NA,5
"Eduardo Nunez_SF",25,NA,10,13,2,NA,5,7,3,19,NA,2,9,0,0,NA,3
"Albert Pujols_LAA",NA,NA,0,5,NA,2,13,21,NA,9,0,5,3,5,2,NA,18
"Carlos Beltran_HOU",NA,NA,0,6,3,10,10,NA,3,8,14,NA,5,2,NA,0,3
"Denard Span_SF",6,NA,NA,NA,NA,NA,2,5,5,NA,12,3,9,2,7,NA,0
"Max Kepler_MIN",NA,5,NA,NA,NA,0,3,0,NA,NA,7,27,7,17,8,5,7
"Joe Mauer_MIN",NA,6,NA,NA,NA,NA,5,5,NA,NA,7,7,0,7,3,6,5
"Josh Reddick_HOU",NA,NA,3,5,NA,3,NA,5,0,8,18,NA,0,NA,NA,13,0
"Joe Panik_SF",12,NA,17,5,NA,NA,3,NA,4,9,7,5,0,3,3,NA,17
"Lorenzo Cain_KC",NA,9,NA,NA,NA,10,9,0,12,NA,13,17,12,6,2,NA,6
"Kennys Vargas_MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robbie Grossman_MIN",NA,8,NA,NA,NA,12,NA,10,NA,NA,NA,24,2,16,5,8,7
"Norichika Aoki_HOU",NA,NA,NA,NA,5,0,NA,0,NA,NA,10,NA,19,17,NA,0,6
"Kole Calhoun_LAA",NA,NA,7,11,NA,21,5,9,NA,0,10,3,2,2,0,2,0
"Eric Hosmer_KC",NA,0,NA,NA,NA,3,16,3,2,NA,5,2,5,7,3,NA,5
"Brandon Crawford_SF",10,NA,21,7,7,NA,5,8,9,NA,4,NA,19,0,12,NA,5
"Tyler Naquin_CLE",NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eddie Rosario_MIN",NA,3,NA,NA,NA,0,5,0,NA,NA,5,5,3,NA,2,8,6
"Byron Buxton_MIN",NA,0,NA,NA,NA,0,5,0,NA,NA,NA,10,0,7,2,NA,0
"Brian McCann_HOU",NA,NA,14,NA,3,NA,17,7,NA,4,6,NA,16,NA,NA,NA,6
"CJ Cron_LAA",NA,NA,NA,8,NA,0,NA,10,NA,NA,5,NA,NA,NA,5,0,0
"Cameron Maybin_LAA",NA,NA,8,7,NA,14,3,NA,NA,11,NA,9,0,7,NA,NA,0
"Mike Moustakas_KC",NA,14,NA,NA,NA,7,NA,17,0,NA,7,7,20,14,NA,NA,3
"Yuli Gurriel_HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luis Valbuena_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derek Fisher_HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alex Gordon_KC",NA,3,NA,NA,NA,14,11,6,0,NA,2,5,5,7,0,NA,7
"Lonnie Chisenhall_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,26,NA,3,5
"Jorge Polanco_MIN",NA,12,NA,NA,NA,0,7,17,NA,NA,2,5,8,7,6,6,5
"Abraham Almonte_CLE",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,6,2,8,NA,2,11
"Jefry Marte_LAA",NA,NA,9,NA,NA,NA,5,NA,NA,14,NA,0,2,NA,NA,0,NA
"Brandon Moss_KC",NA,0,NA,NA,NA,8,NA,14,2,NA,0,2,5,14,NA,NA,11
"Jarrett Parker_SF",0,NA,NA,0,NA,NA,0,NA,7,NA,17,0,NA,0,NA,NA,NA
"Jorge Soler_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Guyer_CLE",NA,NA,5,2,NA,NA,NA,0,NA,NA,0,NA,4,NA,3,NA,NA
"Bradley Zimmer_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Hundley_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,9,NA,5,0,7,NA,7
"Whit Merrifield_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"Peter O'Brien_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marwin Gonzalez_HOU",NA,NA,14,NA,16,NA,7,18,2,4,NA,NA,8,NA,NA,2,0
"Yunel Escobar_LAA",NA,NA,5,4,NA,13,26,14,NA,15,0,0,5,0,2,2,10
"Ben Revere_LAA",NA,NA,NA,NA,NA,NA,NA,11,NA,NA,7,NA,NA,10,0,0,NA
"Salvador Perez_KC",NA,3,NA,NA,NA,19,14,14,3,NA,5,5,16,0,6,NA,3
"Mac Williamson_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yan Gomes_CLE",NA,NA,4,NA,NA,3,NA,6,NA,NA,NA,14,NA,0,0,7,NA
"Austin Jackson_CLE",NA,NA,10,0,NA,NA,NA,5,NA,NA,2,NA,9,NA,2,NA,NA
"Andrelton Simmons_LAA",NA,NA,7,12,NA,11,3,16,NA,2,7,3,2,0,NA,0,17
"Kelby Tomlinson_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cheslor Cuthbert_KC",NA,NA,NA,NA,NA,NA,17,NA,NA,NA,0,NA,NA,NA,0,NA,NA
"Alcides Escobar_KC",NA,0,NA,NA,NA,10,4,3,0,NA,3,6,2,0,11,NA,0
"Giovanny Urshela_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Danny Santana_MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,7,NA,NA,NA
"Danny Espinosa_LAA",NA,NA,18,9,NA,2,5,2,NA,20,2,21,0,3,0,3,3
"Paulo Orlando_KC",NA,0,NA,NA,NA,2,0,7,0,NA,NA,3,5,0,0,NA,NA
"Billy Burns_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jason Castro_MIN",NA,12,NA,NA,NA,NA,16,2,NA,NA,4,NA,2,NA,0,0,9
"Yandy Diaz_CLE",NA,NA,0,10,NA,4,3,5,NA,NA,2,8,9,9,3,3,2
"Jake Marisnick_HOU",NA,NA,NA,0,0,NA,5,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
"Gorkys Hernandez_SF",NA,NA,20,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"Chris Gimenez_MIN",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,9,NA,5,NA,NA,NA
"Eduardo Escobar_MIN",NA,NA,NA,NA,NA,9,3,NA,NA,NA,0,NA,NA,7,NA,5,NA
"Ryan O'Hearn_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conor Gillaspie_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,0,NA,NA,NA
"Roberto Perez_CLE",NA,NA,NA,5,NA,NA,0,NA,NA,NA,0,NA,2,NA,NA,NA,3
"Terrance Gore_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Colon_KC",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"Michael Martinez_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
